composition,count,min,max,mean,std,decision
FA0 MA1 Cs0 | Pb1 Sn0 | I0.9 Br0.1 Cl0,4,1.562,1.65,1.59525,0.03818703968626002,Retained as separate records; no averaging in primary analysis
FA0.6 MA0.4 Cs0 | Pb0.4 Sn0.6 | I1 Br0 Cl0,4,1.249,1.25,1.2497500000000001,0.0004999999999999326,Retained as separate records; no averaging in primary analysis
FA0.85 MA0.15 Cs0 | Pb1 Sn0 | I0.85 Br0.15 Cl0,4,1.58,1.625,1.597,0.020639767440550287,Retained as separate records; no averaging in primary analysis
FA0 MA0 Cs1 | Pb1 Sn0 | I0.667 Br0.333 Cl0,3,1.91,1.92,1.915333333333333,0.005033222956847201,Retained as separate records; no averaging in primary analysis
FA0.79 MA0.16 Cs0.05 | Pb1 Sn0 | I0.83 Br0.17 Cl0,3,1.59,1.63,1.612,0.02029778313018439,Retained as separate records; no averaging in primary analysis
FA0.79 MA0.16 Cs0.05 | Pb1 Sn0 | I0.9 Br0.1 Cl0,3,1.55,1.59,1.57,0.020000000000000018,Retained as separate records; no averaging in primary analysis
FA0.8 MA0.15 Cs0.05 | Pb1 Sn0 | I0.85 Br0.15 Cl0,3,1.59,1.61,1.602,0.010583005244258372,Retained as separate records; no averaging in primary analysis
FA0 MA0.8 Cs0.2 | Pb1 Sn0 | I1 Br0 Cl0,2,1.57,1.62,1.5950000000000002,0.03535533905932733,Retained as separate records; no averaging in primary analysis
FA0 MA0.9 Cs0.1 | Pb1 Sn0 | I1 Br0 Cl0,2,1.54,1.606,1.573,0.046669047558312256,Retained as separate records; no averaging in primary analysis
FA0 MA0.95 Cs0.05 | Pb1 Sn0 | I1 Br0 Cl0,2,1.51,1.61,1.56,0.07071067811865482,Retained as separate records; no averaging in primary analysis
FA0 MA1 Cs0 | Pb0.7 Sn0.3 | I1 Br0 Cl0,2,1.278,1.285,1.2814999999999999,0.004949747468305837,Retained as separate records; no averaging in primary analysis
FA0 MA1 Cs0 | Pb0.75 Sn0.25 | I1 Br0 Cl0,2,1.24,1.24,1.24,0.0,Retained as separate records; no averaging in primary analysis
FA0 MA1 Cs0 | Pb1 Sn0 | I0 Br0 Cl1,2,3.04,3.16,3.1,0.08485281374238578,Retained as separate records; no averaging in primary analysis
FA0 MA1 Cs0 | Pb1 Sn0 | I0 Br0.2 Cl0.8,2,2.83,2.98,2.9050000000000002,0.1060660171779819,Retained as separate records; no averaging in primary analysis
FA0 MA1 Cs0 | Pb1 Sn0 | I0 Br1 Cl0,2,2.11,2.3,2.205,0.13435028842544414,Retained as separate records; no averaging in primary analysis
FA0 MA1 Cs0 | Pb1 Sn0 | I0.5 Br0.5 Cl0,2,1.72,1.872,1.796,0.10748023074035531,Retained as separate records; no averaging in primary analysis
FA0 MA1 Cs0 | Pb1 Sn0 | I0.58 Br0.42 Cl0,2,1.79,1.9,1.845,0.07778174593052013,Retained as separate records; no averaging in primary analysis
