cv_rank,model_id,k,terms,pareto_front,cv_rmse,cv_sd,cv_pooled,fold1,fold2,fold3,fold4,fold5,train_rmse,test_rmse,test_r2,cl_rich_rmse,ma_rich_rmse,Sn,Br,Cl,Sn^2,Br^2,Cl^2,SnBr,SnCl,BrCl,formula
1,383,6,"Sn, Br, Cl, Sn², Br², SnBr",Yes,0.06285301689084975,0.0064299080452218885,0.0631230287170072,0.05720361811309219,0.07388571276240179,0.060879574449727206,0.060140429976371826,0.062155749152655745,0.06134229104244936,0.06671115624633457,0.971588647580994,0.12102793659651859,0.06559515734763334,1,1,1,1,1,0,1,0,0,Eg = 1.56125 - 1.08010*Sn + 0.40670*Br + 1.51112*Cl + 0.87665*Sn² + 0.32221*Br² - 0.21216*SnBr
2,256,5,"Sn, Br, Cl, Sn², Br²",Yes,0.06309883138257924,0.008166898684969993,0.06352928614832166,0.05308129834397698,0.07560383743192424,0.0645455432198508,0.061474457282667094,0.06078902063447704,0.06253674937601104,0.07147122931158521,0.9673894986664062,0.12894710851488567,0.0658818273107271,1,1,1,1,1,0,0,0,0,Eg = 1.56893 - 1.09965*Sn + 0.34523*Br + 1.51025*Cl + 0.85874*Sn² + 0.37268*Br²
3,503,8,"Sn, Br, Cl, Sn², Br², Cl², SnBr, BrCl",No,0.06361067222189316,0.0056366747575032515,0.06381265239899273,0.059488809944184866,0.07303567852120516,0.059223951558615935,0.06225672541291605,0.0640481956725438,0.06029712546071468,0.06858706747422168,0.969968332966976,0.12520847400336516,0.06862352620385602,1,1,1,1,1,1,1,0,1,Eg = 1.56029 - 1.06456*Sn + 0.41489*Br + 6.16342*Cl + 0.86195*Sn² + 0.31645*Br² - 4.64737*Cl² - 0.27569*SnBr - 4.68799*BrCl
4,470,7,"Sn, Br, Cl, Sn², Br², SnBr, BrCl",No,0.06367062635846067,0.00634347759107881,0.06392942428339886,0.05783278434312404,0.07453981219744993,0.06154667525141968,0.06224518850469662,0.06218867149561306,0.06133958106582189,0.06704791981995857,0.9713010777375455,0.12319095369724405,0.06603502203040117,1,1,1,1,1,0,1,0,1,Eg = 1.56112 - 1.08012*Sn + 0.40801*Br + 1.51471*Cl + 0.87670*Sn² + 0.32151*Br² - 0.21186*SnBr - 0.02093*BrCl
5,466,7,"Sn, Br, Cl, Sn², Br², Cl², SnBr",No,0.06372647701945591,0.006367414490759669,0.06398794744484537,0.05816373217602184,0.07473077867743007,0.06171891384118076,0.06168496675477651,0.06233399364787041,0.06134093488336974,0.06648232341373955,0.9717832267179427,0.11952685609760258,0.06529737083746304,1,1,1,1,1,1,1,0,0,Eg = 1.56135 - 1.08003*Sn + 0.40580*Br + 1.52328*Cl + 0.87656*Sn² + 0.32268*Br² - 0.01469*Cl² - 0.21257*SnBr
6,385,6,"Sn, Br, Cl, Sn², Br², BrCl",No,0.06392748999193817,0.0082180420672131,0.06435604825487369,0.05347340070458925,0.07614097762827081,0.06524161818414016,0.06400896387918045,0.060772489563510224,0.06252973072648432,0.07208083898199642,0.9668308274798815,0.13257462136405745,0.06668690691439348,1,1,1,1,1,0,0,0,1,Eg = 1.56868 - 1.09965*Sn + 0.34750*Br + 1.51609*Cl + 0.85887*Sn² + 0.37144*Br² - 0.03399*BrCl
7,382,6,"Sn, Br, Cl, Sn², Br², Cl²",No,0.06393893034519152,0.008205232892786038,0.06436695346924731,0.05367004732645056,0.07625585362323455,0.06540907355968874,0.06355764506437661,0.06080203215220712,0.06253604969116375,0.07165988189653558,0.9672171167221884,0.13006989792456378,0.06613052828430609,1,1,1,1,1,1,0,0,0,Eg = 1.56885 - 1.09967*Sn + 0.34597*Br + 1.50145*Cl + 0.85883*Sn² + 0.37227*Br² + 0.01063*Cl²
8,468,7,"Sn, Br, Cl, Sn², Br², Cl², BrCl",No,0.06409451658853156,0.007572893312484035,0.0644576988253168,0.0545779571880789,0.07548976153139318,0.06483453004546641,0.06436661108373865,0.061203723093980665,0.06214136877390701,0.07228555601480706,0.9666421521746449,0.13549403563581722,0.06728965155579403,1,1,1,1,1,1,0,0,1,Eg = 1.56954 - 1.09396*Sn + 0.34083*Br + 4.24837*Cl + 0.84704*Sn² + 0.37730*Br² - 2.73125*Cl² - 2.77913*BrCl
9,404,6,"Sn, Br, Sn², Br², Cl², BrCl",No,0.06470381547371722,0.0074249096215075645,0.06505451557668923,0.056978904739897966,0.07662679320098992,0.06557795628711922,0.06375795048945973,0.06057747265111921,0.06307560265170915,0.07196767368814654,0.9669348954312234,0.13082658971201844,0.06634590922428545,1,1,0,1,1,1,0,0,1,Eg = 1.56829 - 1.10307*Sn + 0.35089*Br + 0.86573*Sn² + 0.36835*Br² + 1.51280*Cl² + 1.49273*BrCl
10,482,7,"Sn, Br, Sn², Br², Cl², SnBr, BrCl",No,0.06494133831115345,0.00575362561046238,0.06515685918213598,0.06276556400204307,0.07520564871632515,0.06278480138562871,0.062177588735525126,0.06177308871624523,0.062116905375140724,0.06682271166320695,0.9714935483371865,0.12237663396562827,0.06535284240669871,1,1,0,1,1,1,1,0,1,Eg = 1.56148 - 1.08553*Sn + 0.40540*Br + 0.88191*Sn² + 0.32335*Br² + 1.51071*Cl² - 0.19118*SnBr + 1.50436*BrCl
11,469,7,"Sn, Br, Cl, Sn², Br², SnBr, SnCl",No,0.06573090401397802,0.008051627760545946,0.0661414430966383,0.07776695499429313,0.06981624489975101,0.05808694588745509,0.06018935028190823,0.06279502400648264,0.05969973463313463,0.06482586983723963,0.9731717912434056,0.10843065293384385,0.06219164675010953,1,1,1,1,1,0,1,1,0,Eg = 1.56103 - 1.09758*Sn + 0.39893*Br + 1.55967*Cl + 0.90657*Sn² + 0.32870*Br² - 0.18627*SnBr - 0.29378*SnCl
12,258,5,"Sn, Br, Cl, Sn², SnBr",No,0.0664272931686852,0.007256265670330582,0.06674983585074766,0.058318259062581514,0.07824454506155842,0.06536191639340821,0.06456626284983742,0.06564548247604043,0.06523908542128966,0.07034492836633091,0.968409205041445,0.1042399221326073,0.06913152790825675,1,1,1,1,0,0,1,0,0,Eg = 1.53691 - 1.03203*Sn + 0.68304*Br + 1.50778*Cl + 0.84691*Sn² - 0.32295*SnBr
13,511,9,"Sn, Br, Cl, Sn², Br², Cl², SnBr, SnCl, BrCl",No,0.06654755147062892,0.009247534691467487,0.0670724002723643,0.08113592384837846,0.06817368979159598,0.056120927001341074,0.06289917291042645,0.06440804380140264,0.05845879784726909,0.06641626989854811,0.9718392684165243,0.11677873634776424,0.06551905511633652,1,1,1,1,1,1,1,1,1,Eg = 1.55970 - 1.08200*Sn + 0.40998*Br + 6.52534*Cl + 0.89260*Sn² + 0.32147*Br² - 4.95035*Cl² - 0.25195*SnBr - 0.30931*SnCl - 5.03736*BrCl
