Training fraction,Training n,Repeat,Test RMSE,Test MAE,Test R2,Test NLPD,95% coverage,Mean 95% width,Learned kernel
0.2,104,1,0.06676869339606722,0.044210967522733007,0.9715396179049035,-1.5119686339359348,0.9347826086956522,0.195631027926783,"4.02**2 * Matern(length_scale=16.3, nu=1.5) + WhiteKernel(noise_level=0.0122)"
0.2,104,2,0.06901111000524678,0.04096591986503703,0.9695958408631059,-1.537555564812033,0.9347826086956522,0.25164280758242674,"3.4**2 * Matern(length_scale=8.77, nu=1.5) + WhiteKernel(noise_level=0.019)"
0.2,104,3,0.05629278663502924,0.04146004373708178,0.9797697864584876,-1.5712850323475478,0.9021739130434783,0.19447482968686103,"5.22**2 * Matern(length_scale=21, nu=1.5) + WhiteKernel(noise_level=0.00973)"
0.2,104,4,0.08414752436516564,0.04954312207598892,0.9547959175636006,-1.410441843290608,0.8913043478260869,0.1857920397362739,"3.47**2 * Matern(length_scale=14.3, nu=1.5) + WhiteKernel(noise_level=0.00995)"
0.2,104,5,0.06786277570601107,0.046478608662403,0.9705992635239838,-1.3556525515401179,0.9239130434782609,0.27728810298445444,"2.93**2 * Matern(length_scale=7.91, nu=1.5) + WhiteKernel(noise_level=0.0139)"
0.4,207,1,0.052602481749822926,0.036950337045962685,0.9823352522558159,-1.5634432797629885,0.9456521739130435,0.20378587513940724,"4.01**2 * Matern(length_scale=13.5, nu=1.5) + WhiteKernel(noise_level=0.0147)"
0.4,207,2,0.05932218065391112,0.03992740753320788,0.9775338225170686,-1.6078966562907804,0.9565217391304348,0.22792477745172443,"3.52**2 * Matern(length_scale=13.5, nu=1.5) + WhiteKernel(noise_level=0.0197)"
0.4,207,3,0.05232499855036925,0.03806439567322088,0.9825211272246176,-1.5724039321820493,0.8913043478260869,0.16554305833201519,"4.16**2 * Matern(length_scale=13.3, nu=1.5) + WhiteKernel(noise_level=0.0103)"
0.4,207,4,0.05428104538029021,0.03949475412447247,0.9811898881803652,-1.524994955493734,0.8913043478260869,0.18078790311767673,"3.16**2 * Matern(length_scale=10.9, nu=1.5) + WhiteKernel(noise_level=0.0111)"
0.4,207,5,0.05888518054548395,0.042526123593856525,0.9778636000300822,-1.4969359626429957,0.9239130434782609,0.20418403465160506,"3.2**2 * Matern(length_scale=9.99, nu=1.5) + WhiteKernel(noise_level=0.0144)"
0.6,311,1,0.048668213337716426,0.03469444388954677,0.9848788167153983,-1.6353176797470568,0.9565217391304348,0.19588951960091774,"4.57**2 * Matern(length_scale=14, nu=1.5) + WhiteKernel(noise_level=0.0205)"
0.6,311,2,0.04931404520500813,0.03852925667889304,0.9844748348336012,-1.5913618921047747,0.9130434782608695,0.17992665803942404,"3.56**2 * Matern(length_scale=11.1, nu=1.5) + WhiteKernel(noise_level=0.0152)"
0.6,311,3,0.044412562417067813,0.034802576074248595,0.9874076544435292,-1.6849130766207578,0.9782608695652174,0.19885884843321724,"5.16**2 * Matern(length_scale=16.3, nu=1.5) + WhiteKernel(noise_level=0.0178)"
0.6,311,4,0.04568409694585839,0.03591712267180509,0.9866762934100052,-1.6517662166519629,0.9565217391304348,0.19857254717206282,"5.99**2 * Matern(length_scale=21.3, nu=1.5) + WhiteKernel(noise_level=0.0203)"
0.6,311,5,0.04773435659710898,0.03787553897716596,0.9854535466804617,-1.6078460270282904,0.9456521739130435,0.1927328085851721,"2.7**2 * Matern(length_scale=7.98, nu=1.5) + WhiteKernel(noise_level=0.0135)"
0.8,414,1,0.0499548313948999,0.03805225006066503,0.9840687458372358,-1.6322909643125016,0.9239130434782609,0.18658639309587433,"3.75**2 * Matern(length_scale=11.5, nu=1.5) + WhiteKernel(noise_level=0.0165)"
0.8,414,2,0.05120162314454506,0.03818846464970023,0.983263585282712,-1.622903207817824,0.9347826086956522,0.18511882486125214,"4.8**2 * Matern(length_scale=15.7, nu=1.5) + WhiteKernel(noise_level=0.0167)"
0.8,414,3,0.04515811929865542,0.03464888012054143,0.9869813286254914,-1.6840127642089442,0.9456521739130435,0.17950538533594665,"3.93**2 * Matern(length_scale=12.7, nu=1.5) + WhiteKernel(noise_level=0.0148)"
0.8,414,4,0.04750969024095772,0.036985913693131256,0.9855901530195338,-1.6498845328703926,0.9565217391304348,0.19118283254993448,"3.48**2 * Matern(length_scale=10.7, nu=1.5) + WhiteKernel(noise_level=0.0185)"
0.8,414,5,0.047933589588980585,0.03749372096364506,0.9853318657061102,-1.6477140027156223,0.9347826086956522,0.18012584708351548,"4.25**2 * Matern(length_scale=13.5, nu=1.5) + WhiteKernel(noise_level=0.0147)"
1.0,518,1,0.04860384274921867,0.03704971012034939,0.9849187900654514,-1.6297727098822932,0.9239130434782609,0.1794086307451291,"3.78**2 * Matern(length_scale=11.5, nu=1.5) + WhiteKernel(noise_level=0.0158)"
