CV rank,Spec ID,Feature set,Features,Kernel,ARD,CV RMSE,CV RMSE SD,CV MAE,CV R2,CV NLPD,95 coverage,Mean 95 width,Fit seconds
1,2,Composition-5,"Sn, Br, Cl, Cs, MA",Matern-1.5,No,0.05132028888420788,0.005854697771036589,0.0343938119369611,0.9704378191141497,-1.6625921533928598,0.9343539955190441,0.18144633864326015,2.174943447113037
2,4,Composition-5,"Sn, Br, Cl, Cs, MA",RationalQuadratic,No,0.05185061222521058,0.0054143980671206736,0.03469828035094156,0.9700335502529347,-1.6546646614696336,0.936277072442121,0.18322813501047028,4.6190948486328125
3,10,Composition+M4-9,"Sn, Br, Cl, Cs, MA, Sn², Br², Cs·Sn, Cs·Cl",Matern-1.5,No,0.052233739997662856,0.007241192520819409,0.0345207618295128,0.9690647887133143,-1.6623298005750258,0.938200149365198,0.18611453762997407,2.1889076232910156
4,3,Composition-5,"Sn, Br, Cl, Cs, MA",Matern-2.5,No,0.05273354408718341,0.006357576001559614,0.03494350070843857,0.9687457872050494,-1.6390249500053458,0.938200149365198,0.18509241847579527,1.8447599411010742
5,13,Composition-5,"Sn, Br, Cl, Cs, MA",Matern-1.5 ARD,Yes,0.05374701311682922,0.012394401068800557,0.034331537811873196,0.9655259135784455,-1.679949127567718,0.93239357729649,0.17119262565221166,5.853467702865601
6,15,Composition+M4-9,"Sn, Br, Cl, Cs, MA, Sn², Br², Cs·Sn, Cs·Cl",Matern-1.5 ARD,Yes,0.05408036344652747,0.012545254714822469,0.03449309805584685,0.9650439354394589,-1.674392946392926,0.9323935772964898,0.17198507717267814,11.649105787277222
7,12,Composition+M4-9,"Sn, Br, Cl, Cs, MA, Sn², Br², Cs·Sn, Cs·Cl",RationalQuadratic,No,0.05488143463528981,0.00892697869944864,0.03555291239844892,0.9658804421773441,-1.6562228090025672,0.9382001493651979,0.18902795878128056,4.703298568725586
8,14,Final-M4-8,"Sn, Br, Cl, Cs, Sn², Br², Cs·Sn, Cs·Cl",Matern-1.5 ARD,Yes,0.058212876061482136,0.012880320584049358,0.03854844066133835,0.9598038852831264,-1.6026456588147322,0.9246452576549664,0.18650674922228677,15.017136096954346
9,8,Final-M4-8,"Sn, Br, Cl, Cs, Sn², Br², Cs·Sn, Cs·Cl",RationalQuadratic,No,0.058624927837914655,0.010170696712763574,0.039286748437640774,0.9610828636678533,-1.5932873172199218,0.9381628080657206,0.19984756897349398,4.5100836753845215
10,6,Final-M4-8,"Sn, Br, Cl, Cs, Sn², Br², Cs·Sn, Cs·Cl",Matern-1.5,No,0.05902325836084611,0.009113577719894813,0.03916996240599972,0.9608281270118229,-1.6040669210376426,0.9401045556385362,0.1985438204497711,2.389627695083618
11,1,Composition-5,"Sn, Br, Cl, Cs, MA",RBF,No,0.061503155650921015,0.01484813056491584,0.03690460142211838,0.9577709348306799,-1.578278898062901,0.932430918595967,0.1913943176247,2.2581875324249268
12,11,Composition+M4-9,"Sn, Br, Cl, Cs, MA, Sn², Br², Cs·Sn, Cs·Cl",Matern-2.5,No,0.06362702251565877,0.019114057776751927,0.03667353301370957,0.9531602286085736,-1.646970856916499,0.9382188200149365,0.19059169835220474,1.8968467712402344
13,7,Final-M4-8,"Sn, Br, Cl, Cs, Sn², Br², Cs·Sn, Cs·Cl",Matern-2.5,No,0.07279461967894926,0.0285899167968883,0.041695065683992935,0.9363742888506957,-1.5866579142943413,0.9420463032113517,0.20347533724868674,2.4880149364471436
14,9,Composition+M4-9,"Sn, Br, Cl, Cs, MA, Sn², Br², Cs·Sn, Cs·Cl",RBF,No,0.0793895163449702,0.03798714100919868,0.03955083683054759,0.9204991203486156,-1.5853796694561395,0.9304891710231515,0.19506465260591202,1.9571382999420166
15,5,Final-M4-8,"Sn, Br, Cl, Cs, Sn², Br², Cs·Sn, Cs·Cl",RBF,No,0.08661216924132872,0.04488558300598338,0.04472302015264097,0.9021061751916782,-1.5217708637893748,0.9265683345780434,0.20725081214768157,2.200979709625244
