complexity,loss,equation,score,sympy_format,lambda_format
1,0.09561901,1.6512401,0.0,1.65124010000000,PySRFunction(X=>1.65124010000000)
3,0.057229094,Cl + 1.6259135,0.2566546221120323,Cl + 1.6259135,PySRFunction(X=>Cl + 1.6259135)
5,0.026921796,(Br + 1.421191) + Cl,0.3770630933452613,Br + Cl + 1.421191,PySRFunction(X=>Br + Cl + 1.421191)
7,0.022747051,(Cl + 0.859127) * (Br + 1.6526588),0.08425035406306439,(Br + 1.6526588)*(Cl + 0.859127),PySRFunction(X=>(Br + 1.6526588)*(Cl + 0.859127))
9,0.016584601,(Cl + 1.5940382) + ((Br - Sn) * 0.4982288),0.1579804481975591,Cl + (Br - Sn)*0.4982288 + 1.5940382,PySRFunction(X=>Cl + (Br - Sn)*0.4982288 + 1.5940382)
11,0.010814882,((Cl * 1.5827544) + ((Br - Sn) * 0.49257234)) + 1.5796684,0.21377573282628362,Cl*1.5827544 + (Br - Sn)*0.49257234 + 1.5796684,PySRFunction(X=>Cl*1.5827544 + (Br - Sn)*0.49257234 + 1.5796684)
13,0.007563238,((Sn * -0.33015805) + 1.6038225) * ((Br * 0.42983583) + (Cl - -0.94641155)),0.17881187160044185,(1.6038225 + Sn*(-0.33015805))*(Br*0.42983583 + Cl - 1*(-0.94641155)),PySRFunction(X=>(1.6038225 + Sn*(-0.33015805))*(Br*0.42983583 + Cl - 1*(-0.94641155)))
15,0.004385703,((Cl + (Br * 0.42449588)) - -0.98113066) * (((Sn + -1.2006718) * Sn) + 1.5719876),0.2724747365639573,(Sn*(Sn - 1.2006718) + 1.5719876)*(Br*0.42449588 + Cl - 1*(-0.98113066)),PySRFunction(X=>(Sn*(Sn - 1.2006718) + 1.5719876)*(Br*0.42449588 + Cl - 1*(-0.98113066)))
17,0.0041101566,((((Br * 0.43745852) + Cl) - -0.77056295) * ((Sn * (Sn + -1.2755291)) + 1.5493135)) + 0.34322304,0.03244440113628533,(Sn*(Sn - 1.2755291) + 1.5493135)*(Br*0.43745852 + Cl - 1*(-0.77056295)) + 0.34322304,PySRFunction(X=>(Sn*(Sn - 1.2755291) + 1.5493135)*(Br*0.43745852 + Cl - 1*(-0.77056295)) + 0.34322304)
19,0.0040005534,((Cl * 1.5025091) + 1.5733296) + ((Sn * (Sn + -1.2215025)) + (Br * (0.32858932 - (Br * -0.38853317)))),0.013514214210821251,Br*(0.32858932 - (-0.38853317)*Br) + Cl*1.5025091 + Sn*(Sn - 1.2215025) + 1.5733296,PySRFunction(X=>Br*(0.32858932 - (-0.38853317)*Br) + Cl*1.5025091 + Sn*(Sn - 1.2215025) + 1.5733296)
21,0.0038387952,((((Br * 0.36149916) + Cl) * (1.4387997 - ((Sn + -0.47330412) * Br))) + 1.5536467) + ((Sn + -1.1827731) * Sn),0.020637067090302594,Sn*(Sn - 1.1827731) + (1.4387997 - Br*(Sn - 0.47330412))*(Br*0.36149916 + Cl) + 1.5536467,PySRFunction(X=>Sn*(Sn - 1.1827731) + (1.4387997 - Br*(Sn - 0.47330412))*(Br*0.36149916 + Cl) + 1.5536467)
23,0.0036351194,((Cl + (Br * 0.30595547)) * (1.5024017 - (Br * (Sn + (Cl + -0.8080485))))) + ((Sn * (Sn + -1.1879054)) + 1.5587034),0.027258304803020588,Sn*(Sn - 1.1879054) + (1.5024017 - Br*(Cl + Sn - 0.8080485))*(Br*0.30595547 + Cl) + 1.5587034,PySRFunction(X=>Sn*(Sn - 1.1879054) + (1.5024017 - Br*(Cl + Sn - 0.8080485))*(Br*0.30595547 + Cl) + 1.5587034)
25,0.0034469613,(((1.4898527 - (Br * ((Cs * (Sn + Cl)) - Br))) * ((Br * 0.2907584) + Cl)) + (Sn * (Sn + -1.198639))) + 1.5669881,0.026574448723054634,Sn*(Sn - 1.198639) + (1.4898527 - Br*(-Br + Cs*(Cl + Sn)))*(Br*0.2907584 + Cl) + 1.5669881,PySRFunction(X=>Sn*(Sn - 1.198639) + (1.4898527 - Br*(-Br + Cs*(Cl + Sn)))*(Br*0.2907584 + Cl) + 1.5669881)
27,0.00335748,(((1.5037206 - ((((Sn + Cl) * Cs) + (Cl - 0.9616212)) * Br)) * ((Br * 0.28307155) + Cl)) + ((Sn + -1.2002397) * Sn)) + 1.5624665,0.013151183866623773,Sn*(Sn - 1.2002397) + (1.5037206 - Br*(Cl + Cs*(Cl + Sn) - 1*0.9616212))*(Br*0.28307155 + Cl) + 1.5624665,PySRFunction(X=>Sn*(Sn - 1.2002397) + (1.5037206 - Br*(Cl + Cs*(Cl + Sn) - 1*0.9616212))*(Br*0.28307155 + Cl) + 1.5624665)
29,0.0032981562,((Sn * (Sn + -1.1967766)) + 1.5582601) + (((Br * 0.32570863) + Cl) * (1.4580463 - (((((Cl + Sn) + (Cl - 0.34086934)) * Cs) + -0.597591) * Br))),0.008913553765474442,Sn*(Sn - 1.1967766) + (1.4580463 - Br*(Cs*(Cl + Cl + Sn - 1*0.34086934) - 0.597591))*(Br*0.32570863 + Cl) + 1.5582601,PySRFunction(X=>Sn*(Sn - 1.1967766) + (1.4580463 - Br*(Cs*(Cl + Cl + Sn - 1*0.34086934) - 0.597591))*(Br*0.32570863 + Cl) + 1.5582601)
31,0.0032502732,((Cl + (Br * 0.27775198)) * (1.5139126 - (((((Cl + Sn) + (Cl - 0.37020302)) * Cs) + (Cl - 0.94724154)) * Br))) + (((Sn + -1.2001646) * Sn) + 1.5629469),0.007312265353162628,Sn*(Sn - 1.2001646) + (1.5139126 - Br*(Cl + Cs*(Cl + Cl + Sn - 1*0.37020302) - 1*0.94724154))*(Br*0.27775198 + Cl) + 1.5629469,PySRFunction(X=>Sn*(Sn - 1.2001646) + (1.5139126 - Br*(Cl + Cs*(Cl + Cl + Sn - 1*0.37020302) - 1*0.94724154))*(Br*0.27775198 + Cl) + 1.5629469)
33,0.0032441176,((Sn + -1.1981523) * Sn) + (((1.522665 - (((Cl - 0.95152944) + (Cs * ((Cl - 0.38199073) + (Cl + Sn)))) * Br)) * (Cl + ((Br - -0.13605112) * 0.26138428))) + 1.5075166),0.0009478336048661583,Sn*(Sn - 1.1981523) + (1.522665 - Br*(Cl + Cs*(Cl + Cl + Sn - 1*0.38199073) - 1*0.95152944))*(Cl + (Br - 1*(-0.13605112))*0.26138428) + 1.5075166,PySRFunction(X=>Sn*(Sn - 1.1981523) + (1.522665 - Br*(Cl + Cs*(Cl + Cl + Sn - 1*0.38199073) - 1*0.95152944))*(Cl + (Br - 1*(-0.13605112))*0.26138428) + 1.5075166)
35,0.0031959885,(((Sn + -1.1986966) * Sn) + 1.5619694) + ((1.4772055 - (Br * (((Sn * Cs) + (Cl - 0.8762914)) + ((Cl + -0.18785518) * ((Cs + Cs) - Cl))))) * ((Br * 0.2905385) + Cl)),0.0074734787438287455,Sn*(Sn - 1.1986966) + (1.4772055 - Br*(Cl + Cs*Sn + (Cl - 0.18785518)*(-Cl + Cs + Cs) - 1*0.8762914))*(Br*0.2905385 + Cl) + 1.5619694,PySRFunction(X=>Sn*(Sn - 1.1986966) + (1.4772055 - Br*(Cl + Cs*Sn + (Cl - 0.18785518)*(-Cl + Cs + Cs) - 1*0.8762914))*(Br*0.2905385 + Cl) + 1.5619694)
