complexity,loss,equation,score,sympy_format,lambda_format
1,0.09561901,1.6512401,0.0,1.65124010000000,PySRFunction(X=>1.65124010000000)
3,0.057229094,Cl + 1.6259067,0.2566546221120323,Cl + 1.6259067,PySRFunction(X=>Cl + 1.6259067)
5,0.026921798,(Br + 1.4211897) + Cl,0.3770630562006383,Br + Cl + 1.4211897,PySRFunction(X=>Br + Cl + 1.4211897)
6,0.025236772,square(Br + Cl) + 1.5143534,0.06463415577692844,(Br + Cl)**2 + 1.5143534,PySRFunction(X=>(Br + Cl)**2 + 1.5143534)
7,0.02274705,(Cl + 0.85912347) * (Br + 1.6526562),0.10386667060018981,(Br + 1.6526562)*(Cl + 0.85912347),PySRFunction(X=>(Br + 1.6526562)*(Cl + 0.85912347))
8,0.019284802,(Br + 1.7572857) * (square(Cl) + 0.8234422),0.16511814209880815,(Br + 1.7572857)*(Cl**2 + 0.8234422),PySRFunction(X=>(Br + 1.7572857)*(Cl**2 + 0.8234422))
9,0.016584603,((Sn - Br) * -0.49822798) + (Cl + 1.5940602),0.15084258974077713,Cl + (-Br + Sn)*(-0.49822798) + 1.5940602,PySRFunction(X=>Cl + (-Br + Sn)*(-0.49822798) + 1.5940602)
10,0.015049634,((Sn * -0.34770814) + square(Cl + Br)) + 1.5632955,0.09712106285748233,Sn*(-0.34770814) + (Br + Cl)**2 + 1.5632955,PySRFunction(X=>Sn*(-0.34770814) + (Br + Cl)**2 + 1.5632955)
11,0.010814883,(((Sn - Br) * -0.49257421) + 1.5796679) + (Cl * 1.5827568),0.3304304309236993,Cl*1.5827568 + (-Br + Sn)*(-0.49257421) + 1.5796679,PySRFunction(X=>Cl*1.5827568 + (-Br + Sn)*(-0.49257421) + 1.5796679)
12,0.009305345,Cl + ((((square(Sn) + Br) * 0.7233129) + 1.5433415) - Sn),0.1503342747913048,Cl - Sn + (Br + Sn**2)*0.7233129 + 1.5433415,PySRFunction(X=>Cl - Sn + (Br + Sn**2)*0.7233129 + 1.5433415)
13,0.0076209377,(Sn * -0.35489827) + (1.5240047 - ((Br * -0.6736222) + (Cl * -1.551803))),0.19968954637693925,Sn*(-0.35489827) - (Br*(-0.6736222) + Cl*(-1.551803)) + 1.5240047,PySRFunction(X=>Sn*(-0.35489827) - (Br*(-0.6736222) + Cl*(-1.551803)) + 1.5240047)
14,0.0049851243,((((square(Sn) + Br) * 0.706064) + 1.5358559) - Sn) + (Cl / 0.6639579),0.4244410819630063,Cl/0.6639579 - Sn + (Br + Sn**2)*0.706064 + 1.5358559,PySRFunction(X=>Cl/0.6639579 - Sn + (Br + Sn**2)*0.706064 + 1.5358559)
15,0.0046440843,(((Sn - (Br * 0.6112914)) * (Sn + -1.1267326)) + 1.5390164) + (Cl * 1.5059807),0.07086412178167616,Cl*1.5059807 + (Sn - 1.1267326)*(-0.6112914*Br + Sn) + 1.5390164,PySRFunction(X=>Cl*1.5059807 + (Sn - 1.1267326)*(-0.6112914*Br + Sn) + 1.5390164)
