Model ID,k,Terms,AIC rank,BIC rank,AIC,BIC,Train RMSE,Test RMSE,Test R2,Contains Cl2,Interaction count
512,9,"Sn, Br, Cl, Sn², Br², Cl², SnBr, SnCl, BrCl",1,1,-2921.6526741852963,-2879.1529217627017,0.05845879784726909,0.06641626989854811,0.9718392684165243,Yes,3
470,7,"Sn, Br, Cl, Sn², Br², SnBr, SnCl",2,2,-2903.8911009291646,-2869.8912989910887,0.05969973463313463,0.06482586983723963,0.9731717912434056,No,2
506,8,"Sn, Br, Cl, Sn², Br², SnBr, SnCl, BrCl",3,3,-2902.3430952979083,-2864.093318117573,0.059673694036281186,0.06582677743230865,0.9723369437071603,No,3
503,8,"Sn, Br, Cl, Sn², Br², Cl², SnBr, SnCl",4,4,-2901.964233139289,-2863.7144559589533,0.05969552052170406,0.0652169231366976,0.9728471398925795,Yes,2
385,6,"Sn, Br, Cl, Sn², Br², SnCl",7,5,-2889.7485217721037,-2859.9986950762873,0.06063723937598973,0.07028567189835795,0.9684624049104901,No,1
505,8,"Sn, Br, Cl, Sn², Br², Cl², SnCl, BrCl",5,6,-2896.032308434989,-2857.7825312546533,0.06003830531851676,0.0716763215521996,0.9672020734059522,Yes,2
472,7,"Sn, Br, Cl, Sn², Br², SnCl, BrCl",8,7,-2888.411881380365,-2854.412079442289,0.060598425263897526,0.07161352000088184,0.9672595221773795,No,2
468,7,"Sn, Br, Cl, Sn², Br², Cl², SnCl",9,8,-2888.027845866313,-2854.028043928237,0.06062089269756223,0.07112991100959272,0.9677002246318761,Yes,1
504,8,"Sn, Br, Cl, Sn², Br², Cl², SnBr, BrCl",6,9,-2891.575797512919,-2853.3260203325835,0.06029712546071468,0.06858706747422168,0.969968332966976,Yes,2
509,8,"Sn, Br, Sn², Br², Cl², SnBr, SnCl, BrCl",10,10,-2887.2471411062115,-2848.997363925876,0.06054958836661439,0.06590181645015442,0.9722738389400302,Yes,3
384,6,"Sn, Br, Cl, Sn², Br², SnBr",11,11,-2877.772058859925,-2848.0222321641086,0.06134229104244936,0.06671115624633457,0.971588647580994,No,1
484,7,"Sn, Br, Sn², Br², Cl², SnCl, BrCl",12,12,-2877.021046882155,-2843.021244944079,0.06126838214107119,0.07155060946180816,0.9673170201583391,Yes,2
471,7,"Sn, Br, Cl, Sn², Br², SnBr, BrCl",13,13,-2875.8178282264707,-2841.818026288395,0.06133958106582189,0.06704791981995857,0.9713010777375455,No,2
467,7,"Sn, Br, Cl, Sn², Br², Cl², SnBr",14,14,-2875.794963063755,-2841.795161125679,0.06134093488336974,0.06648232341373955,0.9717832267179427,Yes,1
257,5,"Sn, Br, Cl, Sn², Br²",17,15,-2859.7929376027937,-2834.293086149237,0.06253674937601104,0.07147122931158521,0.9673894986664062,No,0
483,7,"Sn, Br, Sn², Br², Cl², SnBr, BrCl",15,16,-2862.771634384729,-2828.771832446653,0.062116905375140724,0.06682271166320695,0.9714935483371865,Yes,2
469,7,"Sn, Br, Cl, Sn², Br², Cl², BrCl",16,17,-2862.363708528316,-2828.36390659024,0.06214136877390701,0.07228555601480706,0.9666421521746449,Yes,1
386,6,"Sn, Br, Cl, Sn², Br², BrCl",18,18,-2857.909216895396,-2828.15939019958,0.06252973072648432,0.07208083898199642,0.9668308274798815,No,1
383,6,"Sn, Br, Cl, Sn², Br², Cl²",19,19,-2857.804528828179,-2828.0547021323628,0.06253604969116375,0.07165988189653558,0.9672171167221884,Yes,0
405,6,"Sn, Br, Sn², Br², Cl², BrCl",21,20,-2848.904394254048,-2819.1545675582315,0.06307560265170915,0.07196767368814654,0.9669348954312234,Yes,1
507,8,"Sn, Br, Cl, Sn², Cl², SnBr, SnCl, BrCl",20,21,-2854.652126235369,-2816.4023490550335,0.06248490710770998,0.07210174246700164,0.966811586531903,Yes,3
390,6,"Sn, Br, Cl, Sn², SnBr, SnCl",22,22,-2836.253270395755,-2806.5034436999385,0.06385057312300495,0.06757884752064049,0.9708447658595561,No,2
476,7,"Sn, Br, Cl, Sn², SnBr, SnCl, BrCl",23,23,-2835.8753699049344,-2801.8755679668584,0.0637506783907819,0.06878355686884167,0.9697960160332617,No,3
473,7,"Sn, Br, Cl, Sn², Cl², SnBr, SnCl",24,24,-2835.0194199584885,-2801.0196180204125,0.06380337138106204,0.06831440966051285,0.9702066313269339,Yes,2
474,7,"Sn, Br, Cl, Sn², Cl², SnBr, BrCl",25,25,-2830.3355216173604,-2796.3357196792845,0.06409248826543437,0.07516427631619095,0.9639323428998864,Yes,2
259,5,"Sn, Br, Cl, Sn², SnBr",27,26,-2815.965594728291,-2790.465743274734,0.06523908542128966,0.07034492836633091,0.968409205041445,No,1
486,7,"Sn, Br, Sn², Cl², SnBr, SnCl, BrCl",26,27,-2821.9373917454523,-2787.9375898073763,0.0646141529223437,0.06803207325800273,0.970452388265159,Yes,3
391,6,"Sn, Br, Cl, Sn², SnBr, BrCl",28,28,-2814.6704100307643,-2784.920583334948,0.06519471682272036,0.07120729270020117,0.9676299090435668,No,2
387,6,"Sn, Br, Cl, Sn², Cl², SnBr",29,29,-2814.190084981581,-2784.4402582857647,0.06522495033233355,0.07077398096333413,0.9680226683565885,Yes,1
260,5,"Sn, Br, Cl, Sn², SnCl",34,30,-2799.1000597029183,-2773.6002082493615,0.06630983538934752,0.06796759257991568,0.9705083720696506,No,1
410,6,"Sn, Br, Sn², Cl², SnBr, BrCl",31,31,-2802.435358340771,-2772.6855316449546,0.06596922403520808,0.07022051939647976,0.9685208464341624,Yes,2
392,6,"Sn, Br, Cl, Sn², SnCl, BrCl",32,32,-2799.7151910977295,-2769.965364401913,0.06614266333152818,0.0703797287901189,0.9683779406698982,No,2
388,6,"Sn, Br, Cl, Sn², Cl², SnCl",35,33,-2799.0671971194315,-2769.317370423615,0.06618404697469948,0.07001638435259593,0.9687036037842452,Yes,1
475,7,"Sn, Br, Cl, Sn², Cl², SnCl, BrCl",30,34,-2802.9242746897767,-2768.9244727517007,0.06581092788808329,0.0703812322851033,0.9683765895957681,Yes,2
490,7,"Sn, Cl, Sn², Br², Cl², SnCl, BrCl",33,35,-2799.3738863699673,-2765.3740844318913,0.06603684987264585,0.08012550719830377,0.9590139038467985,Yes,2
294,5,"Sn, Cl, Sn², Br², SnCl",39,36,-2789.462884247017,-2763.96303279346,0.0669295468007947,0.08248832886395807,0.9565609836977593,No,1
411,6,"Sn, Br, Sn², Cl², SnCl, BrCl",37,37,-2791.537619111355,-2761.7877924155387,0.06666682041398259,0.07035180685261821,0.9684030267005507,Yes,2
510,8,"Sn, Cl, Sn², Br², Cl², SnBr, SnCl, BrCl",36,38,-2798.163639598509,-2759.9138624181733,0.0659865284999318,0.0784636905503881,0.9606963906978936,Yes,3
419,6,"Sn, Cl, Sn², Br², Cl², SnCl",38,39,-2789.6428870793757,-2759.8930603835593,0.06678885838646838,0.0795394697527932,0.959611255404532,Yes,1
