feature_i,feature_j,mean_abs_interaction,type
Sn,Sn,0.09647346081402125,main_effect_diagonal
Sn,Br,0.003164163120411545,pair_interaction
Sn,Cl,0.0011779891590616338,pair_interaction
Sn,Cs,0.0043568660403835655,pair_interaction
Sn,MA,0.0026229421710071968,pair_interaction
Br,Sn,0.003164163120411546,pair_interaction
Br,Br,0.11181713768438509,main_effect_diagonal
Br,Cl,0.007245888668347072,pair_interaction
Br,Cs,0.0021543455396555826,pair_interaction
Br,MA,0.0018193820174869924,pair_interaction
Cl,Sn,0.0011779891590616343,pair_interaction
Cl,Br,0.007245888668347071,pair_interaction
Cl,Cl,0.0822138694939051,main_effect_diagonal
Cl,Cs,0.0013030305503564843,pair_interaction
Cl,MA,0.002019329380940442,pair_interaction
Cs,Sn,0.0043568660403835655,pair_interaction
Cs,Br,0.0021543455396555826,pair_interaction
Cs,Cl,0.0013030305503564843,pair_interaction
Cs,Cs,0.01282351690000736,main_effect_diagonal
Cs,MA,0.0014121652591172237,pair_interaction
MA,Sn,0.0026229421710071968,pair_interaction
MA,Br,0.0018193820174869926,pair_interaction
MA,Cl,0.002019329380940443,pair_interaction
MA,Cs,0.0014121652591172237,pair_interaction
MA,MA,0.011292664153373705,main_effect_diagonal
