Model,Rank,Feature,Mean |SHAP|,Median |SHAP|,Mean SHAP,SD SHAP,Max |SHAP|,"Spearman(feature, SHAP)","Pearson(feature, SHAP)"
XGBoost,1,Br,0.09844820201396942,0.06921892613172531,0.008250867947936058,0.14853252470493317,0.5912523865699768,0.9496162045137311,0.9392524889459359
XGBoost,2,Sn,0.09822525829076767,0.06680078059434891,-0.0007734993705525994,0.12036286294460297,0.3852994441986084,-0.7465241791922551,-0.8595578101038511
XGBoost,3,Cl,0.08984705060720444,0.05455585569143295,-0.008513565175235271,0.19924134016036987,1.2859691381454468,0.3851678230338089,0.9685556311285993
XGBoost,4,Cs,0.012719836086034775,0.008745544590055943,0.0006870628567412496,0.02490401640534401,0.15890491008758545,0.5492237394330279,0.8010286569727451
XGBoost,5,MA,0.012043994851410389,0.01010997872799635,7.853166607674211e-05,0.014660239219665527,0.04633645340800285,0.7149180584488615,0.7377169459463602
Random Forest,1,Br,0.10872817670793154,0.07647938139374946,0.0030123552235774473,0.1562189506800274,0.5796296053307257,0.9535681712274958,0.9734269735348866
Random Forest,2,Sn,0.09750270414410898,0.06795634847857074,0.003201445109260821,0.11675819674305776,0.33946488301154215,-0.7467390311291209,-0.8673180862387466
Random Forest,3,Cl,0.08245213708069371,0.04813328811333069,-0.007825249089395409,0.19130006606355818,1.3114408775884863,0.3851724607579693,0.9891592556016738
Random Forest,4,Cs,0.012634045287615499,0.007765256655439159,0.0007951282235200879,0.024435159173491663,0.1589057742699359,0.4990012547647879,0.8298046434883752
Random Forest,5,MA,0.009943750992581503,0.007655398558888292,0.00019079782596076496,0.012857167024960682,0.04308642863340221,0.543027964760443,0.6213730588703992
