Model,Rank,Feature i,Feature j,Mean |interaction SHAP|,Note
XGBoost,1,Br,Cl,0.016507228836417198,Top pair
XGBoost,2,Sn,Br,0.005154191516339779,
XGBoost,3,Sn,Cs,0.004523945972323418,
XGBoost,4,Sn,MA,0.0030420352704823017,
XGBoost,5,Br,Cs,0.0026501778047531843,
XGBoost,6,Br,MA,0.002406327985227108,
XGBoost,7,Cl,MA,0.0016693263314664364,
XGBoost,8,Cs,MA,0.0015455440152436495,
XGBoost,9,Sn,Cl,0.0014315919252112508,
XGBoost,10,Cl,Cs,0.0013042017817497253,
Random Forest,1,Br,Cl,0.008404675586579086,Top pair
Random Forest,2,Sn,Br,0.0072329238410799085,
Random Forest,3,Br,MA,0.004252656998623561,
Random Forest,4,Sn,Cs,0.004108285622711654,
Random Forest,5,Br,Cs,0.003956776696707371,
Random Forest,6,Sn,MA,0.0033627167254358047,
Random Forest,7,Cs,MA,0.0021162110582857965,
Random Forest,8,Cl,MA,0.0016106984777196393,
Random Forest,9,Cl,Cs,0.0012009778736579687,
Random Forest,10,Sn,Cl,0.0008727527285972708,
