split,id,FA,MA,Cs,Pb,Sn,Br,Cl,I,Eg
train,0,0.83,0.0,0.17,1.0,0.0,0.2,0.0,0.8,1.61
train,1,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,2.49
train,2,0.72,0.15,0.13,1.0,0.0,0.167,0.0,0.833,1.63
train,3,0.75,0.15,0.1,0.75,0.25,0.167,0.0,0.833,1.36
train,4,0.8,0.0,0.2,0.25,0.75,0.0,0.0,1.0,1.2
train,5,0.37,0.6,0.03,1.0,0.0,0.008,0.0,0.992,1.6
train,6,0.0,1.0,0.0,0.75,0.25,0.6,0.0,0.4,1.73
train,7,0.66,0.34,0.0,1.0,0.0,0.14,0.0,0.86,1.62
train,8,0.78,0.16,0.06,1.0,0.0,0.17,0.0,0.83,1.63
train,9,0.0,1.0,0.0,1.0,0.0,0.025,0.0,0.975,1.613
train,10,0.73,0.2,0.07,1.0,0.0,0.157,0.0,0.843,1.6
train,11,0.83,0.0,0.17,0.8,0.2,0.0,0.0,1.0,1.35
train,12,0.75,0.0,0.25,1.0,0.0,0.17,0.0,0.83,1.63
train,13,0.8,0.0,0.2,1.0,0.0,0.2,0.0,0.8,1.48
train,14,0.85,0.0,0.15,1.0,0.0,0.04,0.0,0.96,1.6
train,15,0.8,0.15,0.05,1.0,0.0,0.15,0.0,0.85,1.606
train,16,0.82,0.18,0.0,1.0,0.0,0.177,0.0,0.82,1.64
train,17,0.45,0.5,0.05,0.5,0.5,0.0,0.0,1.0,1.26
train,18,0.57,0.38,0.05,1.0,0.0,0.0,0.0,1.0,1.54
train,19,0.0,0.0,1.0,1.0,0.0,0.8,0.2,0.0,2.33
train,20,0.8075,0.1425,0.05,1.0,0.0,0.15,0.0,0.85,1.616
train,21,0.7,0.0,0.3,1.0,0.0,0.256,0.0,0.744,1.72
train,22,0.6,0.2,0.2,1.0,0.0,0.256,0.0,0.744,1.7
train,23,0.0,0.0,1.0,0.6,0.4,0.0,0.0,1.0,1.38
train,24,0.17,0.83,0.0,1.0,0.0,1.0,0.0,0.0,2.296
train,25,0.6,0.2,0.2,1.0,0.0,0.095,0.0,0.905,1.64
train,26,0.8,0.0,0.2,1.0,0.0,0.256,0.0,0.744,1.71
train,27,0.79,0.16,0.05,1.0,0.0,0.5,0.0,0.5,1.85
train,28,0.0,1.0,0.0,1.0,0.0,0.6,0.0,0.4,1.92
train,29,0.0,0.98,0.02,1.0,0.0,0.02,0.0,0.98,1.6
train,30,0.33,0.67,0.0,1.0,0.0,0.667,0.0,0.333,1.974
train,31,0.0,1.0,0.0,1.0,0.0,0.1,0.0,0.9,1.65
train,32,0.0,1.0,0.0,1.0,0.0,0.59,0.0,0.41,1.96
train,33,0.6,0.4,0.0,0.4,0.6,0.0,0.0,1.0,1.25
train,34,0.78,0.14,0.08,1.0,0.0,0.14,0.0,0.86,1.61
train,35,0.2,0.6,0.2,1.0,0.0,0.0,0.0,1.0,1.634
