id,FA,MA,Cs,Pb,Sn,Br,Cl,I,Eg,source_row_index,sample_id,original_split,A_sum,B_sum,X_sum,A_closure_error,B_closure_error,X_closure_error,numeric_complete,fractions_within_0_1,closure_pass,dataset_index
0,0.83,0.0,0.17,1.0,0.0,0.2,0.0,0.8,1.61,0,train_0,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,0
1,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,2.49,1,train_1,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,1
2,0.72,0.15,0.13,1.0,0.0,0.167,0.0,0.833,1.63,2,train_2,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,2
3,0.75,0.15,0.1,0.75,0.25,0.167,0.0,0.833,1.36,3,train_3,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,3
4,0.8,0.0,0.2,0.25,0.75,0.0,0.0,1.0,1.2,4,train_4,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,4
5,0.37,0.6,0.03,1.0,0.0,0.008,0.0,0.992,1.6,5,train_5,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,5
6,0.0,1.0,0.0,0.75,0.25,0.6,0.0,0.4,1.73,6,train_6,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,6
7,0.66,0.34,0.0,1.0,0.0,0.14,0.0,0.86,1.62,7,train_7,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,7
8,0.78,0.16,0.06,1.0,0.0,0.17,0.0,0.83,1.63,8,train_8,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,8
9,0.0,1.0,0.0,1.0,0.0,0.025,0.0,0.975,1.613,9,train_9,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,9
10,0.73,0.2,0.07,1.0,0.0,0.157,0.0,0.843,1.6,10,train_10,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,10
11,0.83,0.0,0.17,0.8,0.2,0.0,0.0,1.0,1.35,11,train_11,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,11
12,0.75,0.0,0.25,1.0,0.0,0.17,0.0,0.83,1.63,12,train_12,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,12
