id,FA,MA,Cs,Pb,Sn,Br,Cl,I,Eg,source_row_index,sample_id,original_split,A_sum,B_sum,X_sum,A_closure_error,B_closure_error,X_closure_error,numeric_complete,fractions_within_0_1,closure_pass
16,0.82,0.18,0.0,1.0,0.0,0.177,0.0,0.82,1.64,16,train_16,train,1.0,1.0,0.9969999999999999,0.0,0.0,-0.0030000000000001137,True,True,False
45,0.0,1.0,0.0,1.0,0.0,0.025,0.0,0.992,1.6,45,train_45,train,1.0,1.0,1.017,0.0,0.0,0.016999999999999904,True,True,False
153,0.666,0.0664,0.2668,1.0,0.0,0.256,0.0,0.744,1.71,153,train_153,train,0.9992000000000001,1.0,1.0,-0.0007999999999999119,0.0,0.0,True,True,False
179,0.733,0.133,0.133,1.0,0.0,0.095,0.0,0.905,1.65,179,train_179,train,0.999,1.0,1.0,-0.0010000000000000009,0.0,0.0,True,True,False
211,0.8668,0.0664,0.0664,1.0,0.0,0.095,0.0,0.905,1.63,211,train_211,train,0.9996,1.0,1.0,-0.00039999999999995595,0.0,0.0,True,True,False
225,0.33,0.66,0.0,0.66,0.33,0.0,0.0,1.0,1.3,225,train_225,train,0.99,0.99,1.0,-0.010000000000000009,-0.010000000000000009,0.0,True,True,False
332,0.733,0.133,0.133,1.0,0.0,0.256,0.0,0.744,1.71,332,train_332,train,0.999,1.0,1.0,-0.0010000000000000009,0.0,0.0,True,True,False
421,0.78,0.13,0.05,1.0,0.0,0.15,0.0,0.85,1.6,421,train_421,train,0.9600000000000001,1.0,1.0,-0.039999999999999925,0.0,0.0,True,True,False
433,0.68,0.26,0.05,0.75,0.25,0.133,0.0,0.867,1.36,433,train_433,train,0.9900000000000001,1.0,1.0,-0.009999999999999898,0.0,0.0,True,True,False
472,0.666,0.2668,0.0664,1.0,0.0,0.095,0.0,0.905,1.63,472,train_472,train,0.9992000000000001,1.0,1.0,-0.0007999999999999119,0.0,0.0,True,True,False
514,0.666,0.0664,0.2668,1.0,0.0,0.095,0.0,0.905,1.65,514,train_514,train,0.9992000000000001,1.0,1.0,-0.0007999999999999119,0.0,0.0,True,True,False
