group_column,group_value,n
A_group,FA_rich,284
A_group,MA_rich,189
A_group,Cs_rich,32
A_group,mixed_A,2
B_group,Pb_rich,394
B_group,mixed_B,79
B_group,Sn_rich,34
X_group,I_rich,354
X_group,mixed_halide,68
X_group,Br_rich,58
X_group,Cl_containing,27
composition_family,FA_rich__Pb_rich__I_rich,170
composition_family,MA_rich__Pb_rich__I_rich,86
composition_family,FA_rich__mixed_B__I_rich,37
composition_family,FA_rich__Pb_rich__mixed_halide,36
composition_family,MA_rich__mixed_B__I_rich,26
composition_family,MA_rich__Pb_rich__Br_rich,23
composition_family,FA_rich__Pb_rich__Br_rich,19
composition_family,MA_rich__Pb_rich__mixed_halide,19
composition_family,FA_rich__Sn_rich__I_rich,14
composition_family,MA_rich__Pb_rich__Cl_containing,12
composition_family,Cs_rich__Pb_rich__I_rich,9
composition_family,MA_rich__mixed_B__Br_rich,8
composition_family,FA_rich__Pb_rich__Cl_containing,6
composition_family,Cs_rich__Pb_rich__Br_rich,6
composition_family,MA_rich__mixed_B__mixed_halide,6
composition_family,Cs_rich__Pb_rich__Cl_containing,4
composition_family,MA_rich__Sn_rich__I_rich,4
composition_family,Cs_rich__Sn_rich__I_rich,4
composition_family,Cs_rich__Sn_rich__Cl_containing,3
composition_family,Cs_rich__mixed_B__I_rich,2
composition_family,FA_rich__Sn_rich__mixed_halide,2
composition_family,Cs_rich__Pb_rich__mixed_halide,2
composition_family,mixed_A__Pb_rich__I_rich,2
composition_family,MA_rich__Sn_rich__Cl_containing,2
composition_family,MA_rich__Sn_rich__mixed_halide,2
composition_family,Cs_rich__Sn_rich__Br_rich,1
composition_family,Cs_rich__Sn_rich__mixed_halide,1
composition_family,MA_rich__Sn_rich__Br_rich,1
halide_group,I_rich,354
halide_group,mixed_halide,68
halide_group,Br_rich,58
halide_group,Cl_containing,27
A_site_group,FA_rich,284
A_site_group,MA_rich,189
A_site_group,Cs_rich,32
A_site_group,mixed_A,2
