dataset_index,sample_id,id,source_row_index,Eg,A_group,B_group,X_group,composition_family,halide_group,A_site_group
3,train_3,3,3,1.36,FA_rich,mixed_B,I_rich,FA_rich__mixed_B__I_rich,I_rich,FA_rich
4,train_4,4,4,1.2,FA_rich,mixed_B,I_rich,FA_rich__mixed_B__I_rich,I_rich,FA_rich
5,train_5,5,5,1.6,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
6,train_6,6,6,1.73,MA_rich,mixed_B,Br_rich,MA_rich__mixed_B__Br_rich,Br_rich,MA_rich
9,train_9,9,9,1.613,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
11,train_11,11,11,1.35,FA_rich,mixed_B,I_rich,FA_rich__mixed_B__I_rich,I_rich,FA_rich
16,train_17,17,17,1.26,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
20,train_21,21,21,1.72,FA_rich,Pb_rich,mixed_halide,FA_rich__Pb_rich__mixed_halide,mixed_halide,FA_rich
21,train_22,22,22,1.7,FA_rich,Pb_rich,mixed_halide,FA_rich__Pb_rich__mixed_halide,mixed_halide,FA_rich
22,train_23,23,23,1.38,Cs_rich,mixed_B,I_rich,Cs_rich__mixed_B__I_rich,I_rich,Cs_rich
23,train_24,24,24,2.296,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
25,train_26,26,26,1.71,FA_rich,Pb_rich,mixed_halide,FA_rich__Pb_rich__mixed_halide,mixed_halide,FA_rich
27,train_28,28,28,1.92,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
28,train_29,29,29,1.6,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
29,train_30,30,30,1.974,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
30,train_31,31,31,1.65,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
31,train_32,32,32,1.96,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
32,train_33,33,33,1.25,FA_rich,mixed_B,I_rich,FA_rich__mixed_B__I_rich,I_rich,FA_rich
34,train_35,35,35,1.634,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
37,train_38,38,38,1.254,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
38,train_39,39,39,1.25,MA_rich,mixed_B,mixed_halide,MA_rich__mixed_B__mixed_halide,mixed_halide,MA_rich
39,train_40,40,40,1.62,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
40,train_41,41,41,2.03,MA_rich,Pb_rich,Br_rich,MA_rich__Pb_rich__Br_rich,Br_rich,MA_rich
41,train_42,42,42,1.34,FA_rich,mixed_B,I_rich,FA_rich__mixed_B__I_rich,I_rich,FA_rich
42,train_43,43,43,1.72,FA_rich,Pb_rich,mixed_halide,FA_rich__Pb_rich__mixed_halide,mixed_halide,FA_rich
43,train_44,44,44,1.644,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
45,train_47,47,47,1.61,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
47,train_49,49,49,1.72,FA_rich,Pb_rich,mixed_halide,FA_rich__Pb_rich__mixed_halide,mixed_halide,FA_rich
48,train_50,50,50,1.34,MA_rich,mixed_B,mixed_halide,MA_rich__mixed_B__mixed_halide,mixed_halide,MA_rich
49,train_51,51,51,1.57,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
52,train_54,54,54,1.59,MA_rich,mixed_B,mixed_halide,MA_rich__mixed_B__mixed_halide,mixed_halide,MA_rich
53,train_55,55,55,1.62,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
54,train_56,56,56,1.2,FA_rich,Sn_rich,I_rich,FA_rich__Sn_rich__I_rich,I_rich,FA_rich
55,train_57,57,57,1.6,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
56,train_58,58,58,1.633,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
58,train_60,60,60,2.81,MA_rich,Pb_rich,Cl_containing,MA_rich__Pb_rich__Cl_containing,Cl_containing,MA_rich
60,train_62,62,62,1.62,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
61,train_63,63,63,1.72,FA_rich,Pb_rich,mixed_halide,FA_rich__Pb_rich__mixed_halide,mixed_halide,FA_rich
62,train_64,64,64,1.59,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
63,train_65,65,65,1.35,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
68,train_70,70,70,1.24,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
69,train_71,71,71,1.777,MA_rich,Pb_rich,mixed_halide,MA_rich__Pb_rich__mixed_halide,mixed_halide,MA_rich
70,train_72,72,72,1.65,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
71,train_73,73,73,1.544,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
72,train_74,74,74,1.64,Cs_rich,Sn_rich,Br_rich,Cs_rich__Sn_rich__Br_rich,Br_rich,Cs_rich
74,train_76,76,76,1.27,MA_rich,mixed_B,I_rich,MA_rich__mixed_B__I_rich,I_rich,MA_rich
80,train_82,82,82,1.75,Cs_rich,Pb_rich,I_rich,Cs_rich__Pb_rich__I_rich,I_rich,Cs_rich
82,train_84,84,84,1.56,MA_rich,Pb_rich,I_rich,MA_rich__Pb_rich__I_rich,I_rich,MA_rich
84,train_86,86,86,1.25,FA_rich,mixed_B,I_rich,FA_rich__mixed_B__I_rich,I_rich,FA_rich
