split_id,group_strategy,group_column,heldout_groups,n_train,n_test,train_groups,test_groups,no_group_leakage,train_indices_file,test_indices_file
composition_gss_00,composition_family_group_shuffle,composition_family,Cs_rich__mixed_B__I_rich;FA_rich__mixed_B__I_rich;MA_rich__Pb_rich__I_rich;MA_rich__Sn_rich__Cl_containing;MA_rich__Sn_rich__I_rich,376,131,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_00_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_00_test_indices.csv
composition_gss_01,composition_family_group_shuffle,composition_family,Cs_rich__Sn_rich__mixed_halide;FA_rich__Sn_rich__I_rich;FA_rich__Sn_rich__mixed_halide;MA_rich__Pb_rich__Br_rich;MA_rich__Sn_rich__Cl_containing,465,42,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_01_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_01_test_indices.csv
composition_gss_02,composition_family_group_shuffle,composition_family,Cs_rich__Sn_rich__Cl_containing;Cs_rich__Sn_rich__I_rich;FA_rich__Pb_rich__Cl_containing;MA_rich__Pb_rich__I_rich;mixed_A__Pb_rich__I_rich,406,101,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_02_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_02_test_indices.csv
composition_gss_03,composition_family_group_shuffle,composition_family,Cs_rich__Pb_rich__Br_rich;FA_rich__Pb_rich__Br_rich;MA_rich__Sn_rich__Cl_containing;MA_rich__Sn_rich__I_rich;MA_rich__mixed_B__mixed_halide,470,37,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_03_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_03_test_indices.csv
composition_gss_04,composition_family_group_shuffle,composition_family,Cs_rich__Pb_rich__I_rich;FA_rich__Sn_rich__I_rich;FA_rich__mixed_B__I_rich;MA_rich__Pb_rich__I_rich;MA_rich__Pb_rich__mixed_halide,342,165,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_04_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_04_test_indices.csv
composition_gss_05,composition_family_group_shuffle,composition_family,Cs_rich__Sn_rich__mixed_halide;FA_rich__Pb_rich__I_rich;MA_rich__Sn_rich__Cl_containing;MA_rich__Sn_rich__mixed_halide;MA_rich__mixed_B__mixed_halide,326,181,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_05_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_05_test_indices.csv
composition_gss_06,composition_family_group_shuffle,composition_family,Cs_rich__Pb_rich__Br_rich;Cs_rich__Pb_rich__I_rich;Cs_rich__Sn_rich__mixed_halide;MA_rich__Sn_rich__Br_rich;mixed_A__Pb_rich__I_rich,488,19,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_06_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_06_test_indices.csv
composition_gss_07,composition_family_group_shuffle,composition_family,Cs_rich__Pb_rich__Cl_containing;Cs_rich__Sn_rich__Cl_containing;FA_rich__Pb_rich__Br_rich;FA_rich__Pb_rich__I_rich;mixed_A__Pb_rich__I_rich,309,198,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_07_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_07_test_indices.csv
composition_gss_08,composition_family_group_shuffle,composition_family,Cs_rich__Pb_rich__Br_rich;Cs_rich__Pb_rich__Cl_containing;Cs_rich__Sn_rich__mixed_halide;MA_rich__mixed_B__Br_rich;MA_rich__mixed_B__mixed_halide,482,25,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_08_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_08_test_indices.csv
composition_gss_09,composition_family_group_shuffle,composition_family,Cs_rich__Pb_rich__I_rich;Cs_rich__Pb_rich__mixed_halide;Cs_rich__mixed_B__I_rich;FA_rich__Sn_rich__mixed_halide;MA_rich__Sn_rich__Cl_containing,490,17,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_09_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_09_test_indices.csv
composition_gss_10,composition_family_group_shuffle,composition_family,Cs_rich__Pb_rich__mixed_halide;FA_rich__Pb_rich__Cl_containing;MA_rich__Pb_rich__Br_rich;MA_rich__Sn_rich__mixed_halide;MA_rich__mixed_B__I_rich,448,59,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_10_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_10_test_indices.csv
composition_gss_11,composition_family_group_shuffle,composition_family,Cs_rich__Pb_rich__Br_rich;Cs_rich__Pb_rich__I_rich;FA_rich__Pb_rich__mixed_halide;MA_rich__Pb_rich__I_rich;mixed_A__Pb_rich__I_rich,368,139,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_11_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_11_test_indices.csv
composition_gss_12,composition_family_group_shuffle,composition_family,Cs_rich__Sn_rich__mixed_halide;FA_rich__Pb_rich__Br_rich;FA_rich__Sn_rich__I_rich;FA_rich__mixed_B__I_rich;MA_rich__Sn_rich__I_rich,432,75,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_12_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_12_test_indices.csv
composition_gss_13,composition_family_group_shuffle,composition_family,Cs_rich__Pb_rich__Cl_containing;FA_rich__Sn_rich__mixed_halide;MA_rich__Pb_rich__I_rich;MA_rich__mixed_B__Br_rich;MA_rich__mixed_B__I_rich,381,126,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_13_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_13_test_indices.csv
composition_gss_14,composition_family_group_shuffle,composition_family,Cs_rich__Sn_rich__mixed_halide;FA_rich__Pb_rich__Br_rich;MA_rich__Pb_rich__Cl_containing;MA_rich__Pb_rich__mixed_halide;MA_rich__Sn_rich__Cl_containing,454,53,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_14_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_14_test_indices.csv
composition_gss_15,composition_family_group_shuffle,composition_family,FA_rich__Sn_rich__I_rich;FA_rich__Sn_rich__mixed_halide;MA_rich__Pb_rich__I_rich;MA_rich__Pb_rich__mixed_halide;MA_rich__mixed_B__Br_rich,378,129,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_15_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_15_test_indices.csv
composition_gss_16,composition_family_group_shuffle,composition_family,Cs_rich__Pb_rich__I_rich;Cs_rich__Sn_rich__Br_rich;FA_rich__Pb_rich__Cl_containing;FA_rich__Sn_rich__mixed_halide;MA_rich__Sn_rich__Cl_containing,487,20,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_16_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_16_test_indices.csv
composition_gss_17,composition_family_group_shuffle,composition_family,FA_rich__mixed_B__I_rich;MA_rich__Pb_rich__I_rich;MA_rich__Pb_rich__mixed_halide;MA_rich__mixed_B__I_rich;mixed_A__Pb_rich__I_rich,337,170,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_17_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_17_test_indices.csv
composition_gss_18,composition_family_group_shuffle,composition_family,Cs_rich__Sn_rich__mixed_halide;FA_rich__Pb_rich__I_rich;FA_rich__Pb_rich__mixed_halide;MA_rich__Pb_rich__I_rich;MA_rich__Pb_rich__mixed_halide,195,312,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_18_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_18_test_indices.csv
composition_gss_19,composition_family_group_shuffle,composition_family,Cs_rich__Pb_rich__Br_rich;Cs_rich__Sn_rich__Br_rich;MA_rich__Pb_rich__I_rich;MA_rich__Sn_rich__Br_rich;MA_rich__mixed_B__mixed_halide,407,100,23,5,True,outputs/splits/composition_family_group_shuffle/composition_gss_19_train_indices.csv,outputs/splits/composition_family_group_shuffle/composition_gss_19_test_indices.csv
halide_logo_Br_rich,halide_logo,halide_group,Br_rich,449,58,3,1,True,outputs/splits/halide_logo/halide_logo_Br_rich_train_indices.csv,outputs/splits/halide_logo/halide_logo_Br_rich_test_indices.csv
halide_logo_Cl_containing,halide_logo,halide_group,Cl_containing,480,27,3,1,True,outputs/splits/halide_logo/halide_logo_Cl_containing_train_indices.csv,outputs/splits/halide_logo/halide_logo_Cl_containing_test_indices.csv
halide_logo_I_rich,halide_logo,halide_group,I_rich,153,354,3,1,True,outputs/splits/halide_logo/halide_logo_I_rich_train_indices.csv,outputs/splits/halide_logo/halide_logo_I_rich_test_indices.csv
halide_logo_mixed_halide,halide_logo,halide_group,mixed_halide,439,68,3,1,True,outputs/splits/halide_logo/halide_logo_mixed_halide_train_indices.csv,outputs/splits/halide_logo/halide_logo_mixed_halide_test_indices.csv
a_site_logo_Cs_rich,a_site_logo,A_site_group,Cs_rich,475,32,3,1,True,outputs/splits/a_site_logo/a_site_logo_Cs_rich_train_indices.csv,outputs/splits/a_site_logo/a_site_logo_Cs_rich_test_indices.csv
a_site_logo_FA_rich,a_site_logo,A_site_group,FA_rich,223,284,3,1,True,outputs/splits/a_site_logo/a_site_logo_FA_rich_train_indices.csv,outputs/splits/a_site_logo/a_site_logo_FA_rich_test_indices.csv
a_site_logo_MA_rich,a_site_logo,A_site_group,MA_rich,318,189,3,1,True,outputs/splits/a_site_logo/a_site_logo_MA_rich_train_indices.csv,outputs/splits/a_site_logo/a_site_logo_MA_rich_test_indices.csv
a_site_logo_mixed_A,a_site_logo,A_site_group,mixed_A,505,2,3,1,True,outputs/splits/a_site_logo/a_site_logo_mixed_A_train_indices.csv,outputs/splits/a_site_logo/a_site_logo_mixed_A_test_indices.csv
