group_strategy,term,count_selected,frequency_percentage
composition_family_group_shuffle,Sn,20,100.0
composition_family_group_shuffle,Br,20,100.0
composition_family_group_shuffle,Cl,20,100.0
composition_family_group_shuffle,Sn2,20,100.0
composition_family_group_shuffle,Br2,14,70.0
composition_family_group_shuffle,Cl2,0,0.0
composition_family_group_shuffle,SnBr,7,35.0
composition_family_group_shuffle,SnCl,1,5.0
composition_family_group_shuffle,BrCl,0,0.0
composition_family_group_shuffle,Cs,15,75.0
composition_family_group_shuffle,Cs2,0,0.0
composition_family_group_shuffle,CsSn,12,60.0
composition_family_group_shuffle,CsBr,3,15.0
composition_family_group_shuffle,CsCl,11,55.0
halide_logo,Sn,4,100.0
halide_logo,Br,4,100.0
halide_logo,Cl,3,75.0
halide_logo,Sn2,4,100.0
halide_logo,Br2,4,100.0
halide_logo,Cl2,0,0.0
halide_logo,SnBr,0,0.0
halide_logo,SnCl,0,0.0
halide_logo,BrCl,0,0.0
halide_logo,Cs,4,100.0
halide_logo,Cs2,0,0.0
halide_logo,CsSn,4,100.0
halide_logo,CsBr,0,0.0
halide_logo,CsCl,1,25.0
a_site_logo,Sn,4,100.0
a_site_logo,Br,4,100.0
a_site_logo,Cl,4,100.0
a_site_logo,Sn2,4,100.0
a_site_logo,Br2,4,100.0
a_site_logo,Cl2,0,0.0
a_site_logo,SnBr,0,0.0
a_site_logo,SnCl,0,0.0
a_site_logo,BrCl,0,0.0
a_site_logo,Cs,3,75.0
a_site_logo,Cs2,0,0.0
a_site_logo,CsSn,3,75.0
a_site_logo,CsBr,1,25.0
a_site_logo,CsCl,2,50.0
