structure_id,terms,n_terms,formula,models,train_rmse,test_rmse,train_r2,test_r2,train_mae,test_mae,mean_cv_rmse,std_cv_rmse
8,Br + Br^2 + Cl + Cs + Cs*Br + Cs*Cl + Cs*Sn + Sn + Sn*Br + Sn^2,10,Eg = 1 0.393219*Br 0.343331*Br^2 1.617760*Cl 0.168150*Cs -0.130143*Cs*Br -0.330946*Cs*Cl -0.233534*Cs*Sn -1.090506*Sn -0.129985*Sn*Br 0.928233*Sn^2,"A,B",0.05248924484987918,0.05348559255852408,0.9711864786796187,0.9817371482132311,0.03788133126796762,0.04170746773943653,0.05560290523535333,0.00312064657586302
4,Br + Br^2 + Cl + Cl^2 + Cs + Cs*Br + Cs*Cl + Cs*Sn + Sn + Sn*Br + Sn^2,11,Eg = 1 0.395338*Br 0.341993*Br^2 1.588082*Cl 0.036629*Cl^2 0.167724*Cs -0.128288*Cs*Br -0.333046*Cs*Cl -0.233260*Cs*Sn -1.090633*Sn -0.129271*Sn*Br 0.928445*Sn^2,"A,B",0.05247972022124662,0.054160305461374264,0.9711969346574623,0.9812734755713992,0.03785466933439855,0.04205475475034043,0.056395104218663596,0.0033145809795909723
5,Br + Br^2 + Cl + Cs + Cs*Br + Cs*Cl + Cs*Sn + Cs^2 + Sn + Sn^2,10,Eg = 1 0.360410*Br 0.367017*Br^2 1.612477*Cl 0.083869*Cs -0.161546*Cs*Br -0.340855*Cs*Cl -0.259659*Cs*Sn 0.109344*Cs^2 -1.108471*Sn 0.925541*Sn^2,A,0.05259870891945365,0.056114721659606445,0.9710661746392518,0.9798975681981393,0.037850539185376265,0.043376209423389774,0.05596564691036787,0.0036950948481807174
21,Br + Cl + Cs + Cs*Br + Cs*Cl + Cs*Sn + Sn + Sn^2,8,Eg = 1 0.663293*Br 1.610836*Cl 0.172706*Cs -0.123656*Cs*Br -0.320964*Cs*Cl -0.252520*Cs*Sn -1.054819*Sn 0.871844*Sn^2,B,0.059423295582302804,0.05634017432526917,0.963070863295624,0.9797357122313968,0.0422537684110512,0.04535588445527737,0.06326461754540179,0.002603044343776309
14,Br + Br^2 + Cl + Cs + Cs*Br + Cs*Cl + Cs*Sn + Sn + Sn^2,9,Eg = 1 0.357107*Br 0.374844*Br^2 1.618676*Cl 0.175045*Cs -0.144034*Cs*Br -0.331810*Cs*Cl -0.247730*Cs*Sn -1.103677*Sn 0.921923*Sn^2,"A,B",0.05299124389948636,0.05650882298923455,0.9706327070329942,0.9796142124263769,0.038019192099749466,0.043410487108469925,0.05629242597208065,0.003696502028317282
15,Br + Br^2 + Cl + Cl^2 + Cs + Cs*Br + Cs*Cl + Cs*Sn + Cs^2 + Sn + Sn^2,11,Eg = 1 0.363787*Br 0.364784*Br^2 1.569428*Cl 0.053079*Cl^2 0.082689*Cs -0.158845*Cs*Br -0.343942*Cs*Cl -0.259215*Cs*Sn 0.109954*Cs^2 -1.108577*Sn 0.925919*Sn^2,A,0.05257872782039206,0.05716739942556824,0.9710881531186951,0.9791362752735099,0.03780237878737313,0.043854695914173555,0.05681963749422249,0.004055669623487858
9,Br + Br^2 + Cl + Cl^2 + Cs + Cs*Br + Cs*Cl + Cs*Sn + Sn + Sn^2,10,Eg = 1 0.360094*Br 0.372897*Br^2 1.580413*Cl 0.047216*Cl^2 0.174447*Cs -0.141545*Cs*Br -0.334511*Cs*Cl -0.247277*Cs*Sn -1.103747*Sn 0.922241*Sn^2,A,0.05297554172777952,0.0574557236520603,0.9706501084722731,0.9789252918455987,0.03798968872671773,0.04385800912487565,0.05714643844835933,0.00405967541025582
11,Br + Br^2 + Cl + Cl^2 + Cs + Cs*Br + Cs*Sn + Sn + Sn*Br + Sn^2,10,Eg = 1 0.397764*Br 0.338448*Br^2 1.559859*Cl -0.045324*Cl^2 0.141425*Cs -0.123811*Cs*Br -0.255915*Cs*Sn -1.088896*Sn -0.133128*Sn*Br 0.924104*Sn^2,"A,B",0.05575749769725365,0.05890233835049089,0.9674866111758804,0.9778506980617083,0.03959862962939286,0.04529363494865154,0.05835499997596645,0.004090146321754747
10,Br + Br^2 + Cl + Cl^2 + Cs + Cs*Br + Cs*Sn + Cs^2 + Sn + Sn*Br + Sn^2,11,Eg = 1 0.401270*Br 0.331532*Br^2 1.550772*Cl -0.042719*Cl^2 0.069008*Cs -0.137023*Cs*Br -0.265522*Cs*Sn 0.085952*Cs^2 -1.092422*Sn -0.135291*Sn*Br 0.926983*Sn^2,"A,B",0.05552606789356993,0.05908803994409059,0.9677559543703929,0.9777108175554354,0.03941218460272398,0.04534874686833835,0.058258260022035754,0.004340074166083771
16,Br + Br*Cl + Br^2 + Cl + Cs + Cs*Br + Cs*Sn + Sn + Sn*Br + Sn^2,10,Eg = 1 0.398999*Br 0.023851*Br*Cl 0.337678*Br^2 1.518280*Cl 0.141105*Cs -0.122766*Cs*Br -0.255968*Cs*Sn -1.089065*Sn -0.132339*Sn*Br 0.924336*Sn^2,A,0.05576763727515067,0.059257024860658765,0.9674747848914181,0.9775831463188843,0.03957789917066856,0.045470489823502325,0.058382865957129756,0.004059552030811866
