model,term,count,total,pct
External Model A,Br,17,17,100.0
External Model A,Br*Cl,2,17,11.8
External Model A,Br^2,17,17,100.0
External Model A,Cl,17,17,100.0
External Model A,Cl^2,10,17,58.8
External Model A,Cs,17,17,100.0
External Model A,Cs*Br,14,17,82.4
External Model A,Cs*Cl,7,17,41.2
External Model A,Cs*Sn,17,17,100.0
External Model A,Cs^2,6,17,35.3
External Model A,Sn,17,17,100.0
External Model A,Sn*Br,9,17,52.9
External Model A,Sn*Cl,0,17,0.0
External Model A,Sn^2,17,17,100.0
External Model B,Br,15,15,100.0
External Model B,Br*Cl,1,15,6.7
External Model B,Br^2,14,15,93.3
External Model B,Cl,15,15,100.0
External Model B,Cl^2,8,15,53.3
External Model B,Cs,13,15,86.7
External Model B,Cs*Br,13,15,86.7
External Model B,Cs*Cl,4,15,26.7
External Model B,Cs*Sn,15,15,100.0
External Model B,Cs^2,1,15,6.7
External Model B,Sn,15,15,100.0
External Model B,Sn*Br,8,15,53.3
External Model B,Sn*Cl,0,15,0.0
External Model B,Sn^2,15,15,100.0
