run_id,provider,requested_model,temperature,top_p,qwen_seed,terms,term_count,cv_rmse_mean,cv_rmse_std,test_rmse,test_mae,test_r2
1,deepseek,deepseek-v4-flash,0.7,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,0.058127236767094595,0.004242602312181955,0.06175816011399793,0.04660800300542293,0.975650857602251
2,deepseek,deepseek-v4-flash,0.7,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,0.058127236767094595,0.004242602312181955,0.06175816011399793,0.04660800300542293,0.975650857602251
3,deepseek,deepseek-v4-flash,0.7,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,0.058127236767094595,0.004242602312181955,0.06175816011399793,0.04660800300542293,0.975650857602251
4,deepseek,deepseek-v4-flash,0.7,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,0.058127236767094595,0.004242602312181955,0.06175816011399793,0.04660800300542293,0.975650857602251
5,deepseek,deepseek-v4-flash,0.7,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br;Cs*Cl,9,0.05687376487926461,0.009507704384787086,0.05650882298923467,0.043410487108469994,0.9796142124263768
6,deepseek,deepseek-v4-flash,0.7,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,0.058127236767094595,0.004242602312181955,0.06175816011399793,0.04660800300542293,0.975650857602251
7,deepseek,deepseek-v4-flash,0.7,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,0.058127236767094595,0.004242602312181955,0.06175816011399793,0.04660800300542293,0.975650857602251
8,deepseek,deepseek-v4-flash,0.7,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cl^2;Cs*Sn,8,0.060179563548481904,0.005125445039750457,0.06567964930862993,0.04978786742660914,0.9724604638101607
9,deepseek,deepseek-v4-flash,0.7,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,0.058127236767094595,0.004242602312181955,0.06175816011399793,0.04660800300542293,0.975650857602251
10,deepseek,deepseek-v4-flash,0.7,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,0.058127236767094595,0.004242602312181955,0.06175816011399793,0.04660800300542293,0.975650857602251
