run_id,provider,requested_model,temperature,top_p,qwen_seed,terms,term_count,cv_rmse_mean,cv_rmse_std,test_rmse,test_mae,test_r2
1,deepseek,deepseek-v4-flash,1.0,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,0.058127236767094595,0.004242602312181955,0.06175816011399793,0.04660800300542293,0.975650857602251
2,deepseek,deepseek-v4-flash,1.0,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,0.058127236767094595,0.004242602312181955,0.06175816011399793,0.04660800300542293,0.975650857602251
3,deepseek,deepseek-v4-flash,1.0,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,0.058127236767094595,0.004242602312181955,0.06175816011399793,0.04660800300542293,0.975650857602251
4,deepseek,deepseek-v4-flash,1.0,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Sn*Br;Cs*Cl,8,0.06206579869710262,0.010425222923883364,0.05958708888885772,0.04626226472515878,0.9773327252624943
5,deepseek,deepseek-v4-flash,1.0,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Cl,8,0.0584650434056078,0.011217748020692558,0.060613471751538535,0.046760792959930526,0.9765451159242244
6,deepseek,deepseek-v4-flash,1.0,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cl^2;Cs*Sn,8,0.060179563548481904,0.005125445039750457,0.06567964930862993,0.04978786742660914,0.9724604638101607
7,deepseek,deepseek-v4-flash,1.0,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,0.058127236767094595,0.004242602312181955,0.06175816011399793,0.04660800300542293,0.975650857602251
8,deepseek,deepseek-v4-flash,1.0,1.0,,Sn;Br;Cl;Cs;Sn^2;Cs*Sn;Cs*Br;Cs*Cl,8,0.06558778027066985,0.00935009164043629,0.05634017432526924,0.04535588445527735,0.9797357122313968
9,deepseek,deepseek-v4-flash,1.0,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Cl,8,0.0584650434056078,0.011217748020692558,0.060613471751538535,0.046760792959930526,0.9765451159242244
10,deepseek,deepseek-v4-flash,1.0,1.0,,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,0.058127236767094595,0.004242602312181955,0.06175816011399793,0.04660800300542293,0.975650857602251
