provider,temperature,terms,frequency,percentage
qwen,0.2,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,3,30.0
qwen,0.2,Sn;Br;Cs;Sn^2;Br^2;Cs^2;Cs*Sn;Cs*Br,2,20.0
qwen,0.2,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs^2;Cs*Sn,1,10.0
qwen,0.2,Sn;Br;Cl;Cs;Sn^2;Br^2;Sn*Br;Cs*Sn,1,10.0
qwen,0.2,Sn;Br;Cl;Cs;Sn^2;Cs^2;Cs*Sn;Cs*Br,1,10.0
qwen,0.2,Sn;Br;Cl;Cs;Sn^2;Cs*Sn;Cs*Br;Cs*Cl,1,10.0
qwen,0.2,Sn;Br;Cl;Cs;Sn^2;Br^2;Sn*Br;Cs*Sn;Cs*Br,1,10.0
qwen,0.7,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,80.0
qwen,0.7,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs^2;Cs*Sn,2,20.0
qwen,1.0,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,7,70.0
qwen,1.0,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs^2;Cs*Sn,2,20.0
qwen,1.0,Sn;Br;Cl;Cs;Sn^2;Cs^2;Cs*Sn;Cs*Br,1,10.0
deepseek,0.2,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,7,70.0
deepseek,0.2,Sn;Br;Cl;Cs;Sn^2;Br^2;Br*Cl;Cs*Sn,2,20.0
deepseek,0.2,Sn;Br;Cl;Cs;Sn^2;Br^2;Cl^2;Cs*Sn,1,10.0
deepseek,0.7,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,80.0
deepseek,0.7,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br;Cs*Cl,1,10.0
deepseek,0.7,Sn;Br;Cl;Cs;Sn^2;Br^2;Cl^2;Cs*Sn,1,10.0
deepseek,1.0,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,5,50.0
deepseek,1.0,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Cl,2,20.0
deepseek,1.0,Sn;Br;Cl;Cs;Sn^2;Br^2;Sn*Br;Cs*Cl,1,10.0
deepseek,1.0,Sn;Br;Cl;Cs;Sn^2;Br^2;Cl^2;Cs*Sn,1,10.0
deepseek,1.0,Sn;Br;Cl;Cs;Sn^2;Cs*Sn;Cs*Br;Cs*Cl,1,10.0
