row_index,id,validation_fold
0,0,4
1,1,3
2,2,1
3,3,3
4,4,5
5,5,2
6,6,1
7,7,3
8,8,1
9,9,1
10,10,2
11,11,1
12,12,5
13,13,1
14,14,4
15,15,4
16,16,3
17,17,5
18,18,3
19,19,2
20,20,3
21,21,3
22,22,5
23,23,1
24,24,4
25,25,2
26,26,4
27,27,4
28,28,3
29,29,1
30,30,1
31,31,2
32,32,3
33,33,5
34,34,4
35,35,2
36,36,1
37,37,3
38,38,5
39,39,1
40,40,5
41,41,5
42,42,5
43,43,1
44,44,3
45,45,3
46,46,2
47,47,2
48,48,1
49,49,5
50,50,5
51,51,3
52,52,2
53,53,1
54,54,3
55,55,3
56,56,3
57,57,3
58,58,5
59,59,4
60,60,5
61,61,1
62,62,3
63,63,5
64,64,2
65,65,3
66,66,3
67,67,2
68,68,2
69,69,5
70,70,2
71,71,5
72,72,2
73,73,4
74,74,3
75,75,1
76,76,2
77,77,4
78,78,1
79,79,1
80,80,5
81,81,4
82,82,5
83,83,2
84,84,5
85,85,2
86,86,5
87,87,1
88,88,2
89,89,4
90,90,3
91,91,3
92,92,1
93,93,4
94,94,5
95,95,4
96,96,5
97,97,3
98,98,3
99,99,4
100,100,3
101,101,5
102,102,2
103,103,2
104,104,1
105,105,1
106,106,5
107,107,5
108,108,3
109,109,3
110,110,1
111,111,5
112,112,5
113,113,3
114,114,3
115,115,4
116,116,2
117,117,3
118,118,2
119,119,1
120,120,5
121,121,5
122,122,5
123,123,2
124,124,1
125,125,5
126,126,4
127,127,3
128,128,1
129,129,1
130,130,3
131,131,2
132,132,2
133,133,5
134,134,5
135,135,3
136,136,2
137,137,5
138,138,2
139,139,5
140,140,3
141,141,4
142,142,4
143,143,1
144,144,2
145,145,2
146,146,4
147,147,4
148,148,2
149,149,1
150,150,4
151,151,5
152,152,5
153,153,3
154,154,2
155,155,4
156,156,2
157,157,3
158,158,4
159,159,5
160,160,3
161,161,1
162,162,2
163,163,1
164,164,2
165,165,5
166,166,3
167,167,3
168,168,1
169,169,3
170,170,2
171,171,1
172,172,1
173,173,1
174,174,1
175,175,4
176,176,1
177,177,5
178,178,5
179,179,2
180,180,5
181,181,2
182,182,1
183,183,3
184,184,3
185,185,3
186,186,1
187,187,5
188,188,3
189,189,2
190,190,1
191,191,3
192,192,2
193,193,2
194,194,4
195,195,4
196,196,4
197,197,2
198,198,3
199,199,4
200,200,2
201,201,5
202,202,2
203,203,1
204,204,4
205,205,4
206,206,5
207,207,1
208,208,5
209,209,4
210,210,5
211,211,4
212,212,2
213,213,5
214,214,5
215,215,5
216,216,4
217,217,2
218,218,4
219,219,4
220,220,1
221,221,1
222,222,4
223,223,4
224,224,3
225,225,1
226,226,5
227,227,3
228,228,5
229,229,2
230,230,2
231,231,5
232,232,2
233,233,5
234,234,3
235,235,1
236,236,3
237,237,1
238,238,2
239,239,4
240,240,1
241,241,3
242,242,3
243,243,4
244,244,5
245,245,5
246,246,2
247,247,2
248,248,4
249,249,2
250,250,1
251,251,1
252,252,1
253,253,1
254,254,1
255,255,2
256,256,5
257,257,4
258,258,4
259,259,5
260,260,5
261,261,1
262,262,3
263,263,2
264,264,3
265,265,4
266,266,5
267,267,1
268,268,5
269,269,4
270,270,1
271,271,3
272,272,4
273,273,3
274,274,1
275,275,2
276,276,2
277,277,5
278,278,2
279,279,5
280,280,3
281,281,2
282,282,4
283,283,5
284,284,2
285,285,2
286,286,2
287,287,2
288,288,5
289,289,4
290,290,3
291,291,5
292,292,2
293,293,3
294,294,4
295,295,4
296,296,4
297,297,4
298,298,1
299,299,4
300,300,1
301,301,5
302,302,4
303,303,3
304,304,2
305,305,5
306,306,4
307,307,4
308,308,5
309,309,2
310,310,4
311,311,4
312,312,1
313,313,4
314,314,4
315,315,4
316,316,4
317,317,2
318,318,1
319,319,5
320,320,5
321,321,5
322,322,1
323,323,2
324,324,5
325,325,1
326,326,1
327,327,4
328,328,5
329,329,4
330,330,1
331,331,5
332,332,1
333,333,3
334,334,2
335,335,1
336,336,3
337,337,1
338,338,3
339,339,2
340,340,2
341,341,3
342,342,5
343,343,3
344,344,1
345,345,2
346,346,4
347,347,4
348,348,3
349,349,3
350,350,3
351,351,4
352,352,4
353,353,5
354,354,4
355,355,1
356,356,4
357,357,5
358,358,4
359,359,5
360,360,1
361,361,4
362,362,1
363,363,2
364,364,4
365,365,5
366,366,2
367,367,5
368,368,3
369,369,4
370,370,2
371,371,4
372,372,2
373,373,3
374,374,2
375,375,5
376,376,2
377,377,3
378,378,5
379,379,4
380,380,2
381,381,3
382,382,3
383,383,5
384,384,3
385,385,3
386,386,1
387,387,1
388,388,3
389,389,4
390,390,2
391,391,2
392,392,1
393,393,2
394,394,2
395,395,1
396,396,4
397,397,4
398,398,5
399,399,4
400,400,4
401,401,5
402,402,1
403,403,4
404,404,5
405,405,4
406,406,1
407,407,1
408,408,1
409,409,1
410,410,1
411,411,3
412,412,2
413,413,2
414,414,2
415,415,1
416,416,5
417,417,1
418,418,2
419,419,5
420,420,2
421,421,5
422,422,2
423,423,5
424,424,3
425,425,1
426,426,4
427,427,2
428,428,5
429,429,2
430,430,4
431,431,3
432,432,2
433,433,5
434,434,5
435,435,3
436,436,2
437,437,3
438,438,4
439,439,5
440,440,2
441,441,3
442,442,1
443,443,5
444,444,4
445,445,2
446,446,1
447,447,3
448,448,1
449,449,3
450,450,1
451,451,4
452,452,1
453,453,3
454,454,1
455,455,5
456,456,4
457,457,2
458,458,3
459,459,1
460,460,1
461,461,3
462,462,3
463,463,3
464,464,3
465,465,4
466,466,4
467,467,1
468,468,3
469,469,5
470,470,2
471,471,2
472,472,1
473,473,3
474,474,5
475,475,5
476,476,4
477,477,1
478,478,1
479,479,3
480,480,3
481,481,2
482,482,4
483,483,1
484,484,1
485,485,4
486,486,4
487,487,2
488,488,5
489,489,3
490,490,4
491,491,1
492,492,3
493,493,3
494,494,4
495,495,4
496,496,2
497,497,4
498,498,3
499,499,3
500,500,3
501,501,1
502,502,4
503,503,3
504,504,1
505,505,2
506,506,5
507,507,2
508,508,4
509,509,1
510,510,4
511,511,1
512,512,2
513,513,2
514,514,4
515,515,3
516,516,5
517,517,3
