run_id,provider,requested_model,temperature,top_p,qwen_seed,terms,term_count,cv_rmse_mean,cv_rmse_std,test_rmse,test_mae,test_r2
1,qwen,qwen-plus,0.2,1.0,2026060701,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs^2;Cs*Sn,8,0.05871150052984966,0.004094866150156857,0.06546966055360141,0.04977137444211395,0.9726362792532877
2,qwen,qwen-plus,0.2,1.0,2026060702,Sn;Br;Cl;Cs;Sn^2;Br^2;Sn*Br;Cs*Sn,8,0.058528419977085924,0.0034474771374119455,0.06193744271252384,0.04702480252890207,0.9755092823412336
3,qwen,qwen-plus,0.2,1.0,2026060703,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,0.058127236767094595,0.004242602312181955,0.06175816011399793,0.04660800300542293,0.975650857602251
4,qwen,qwen-plus,0.2,1.0,2026060704,Sn;Br;Cl;Cs;Sn^2;Cs^2;Cs*Sn;Cs*Br,8,0.06362416459855445,0.00195390340610853,0.0624272365374253,0.0490758046187935,0.9751204115436577
5,qwen,qwen-plus,0.2,1.0,2026060705,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,0.058127236767094595,0.004242602312181955,0.06175816011399793,0.04660800300542293,0.975650857602251
6,qwen,qwen-plus,0.2,1.0,2026060706,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br,8,0.058127236767094595,0.004242602312181955,0.06175816011399793,0.04660800300542293,0.975650857602251
7,qwen,qwen-plus,0.2,1.0,2026060707,Sn;Br;Cs;Sn^2;Br^2;Cs^2;Cs*Sn;Cs*Br,8,0.19336579039441507,0.07307808264146673,0.277741406921881,0.1279975642994831,0.5075340209817267
8,qwen,qwen-plus,0.2,1.0,2026060708,Sn;Br;Cl;Cs;Sn^2;Cs*Sn;Cs*Br;Cs*Cl,8,0.06558778027066985,0.00935009164043629,0.05634017432526924,0.04535588445527735,0.9797357122313968
9,qwen,qwen-plus,0.2,1.0,2026060709,Sn;Br;Cs;Sn^2;Br^2;Cs^2;Cs*Sn;Cs*Br,8,0.19336579039441507,0.07307808264146673,0.277741406921881,0.1279975642994831,0.5075340209817267
10,qwen,qwen-plus,0.2,1.0,2026060710,Sn;Br;Cl;Cs;Sn^2;Br^2;Sn*Br;Cs*Sn;Cs*Br,9,0.05800181294855572,0.004056505260227116,0.05966672182560034,0.04567223762082164,0.9772720991153688
