candidate_index,raw,valid,invalid_reasons,duplicate_of,canonical_expression,terms,term_count,cv_rmse_mean,cv_rmse_std,cv_r2,condition_number
1,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2,Sn;Br;Cl;Sn^2,4,0.06930096155365931,0.0029854979786585827,0.949690423723918,20.465492419497497
2,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Br^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Br^2,Sn;Br;Cl;Br^2,4,0.08629710089954677,0.00483448119159448,0.921925147075996,18.791336545442693
3,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cl^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cl^2,Sn;Br;Cl;Cl^2,4,0.08855630216924677,0.006559688595695378,0.917629504957556,48.18101850375021
4,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2,Sn;Br;Cl;Sn^2;Br^2,5,0.06381619210960617,0.0048707206201949885,0.9571879206007586,21.525446749159425
5,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Cl^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Cl^2,Sn;Br;Cl;Sn^2;Cl^2,5,0.06961080151153028,0.0029073516369842235,0.9492460655550627,48.54078013206082
6,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Br^2 + a5*Cl^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Br^2 + a5*Cl^2,Sn;Br;Cl;Br^2;Cl^2,5,0.08653693419043293,0.00498328338845775,0.921479221385301,48.85332938537515
7,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Cl^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Sn^2 + a5*Br^2 + a6*Cl^2,Sn;Br;Cl;Sn^2;Br^2;Cl^2,6,0.06456922679024857,0.005078242134174922,0.956158700117455,49.17614842996105
8,Eg = a0 + a1*Sn + a2*Br + a3*Cl^2,True,,,Eg = a0 + a1*Sn + a2*Br + a3*Cl^2,Sn;Br;Cl^2,3,0.10613591934869644,0.014616010878438578,0.8803818370325739,9.300376337324831
9,Eg = a0 + a1*Sn + a2*Br^2 + a3*Cl,True,,,Eg = a0 + a1*Sn + a2*Cl + a3*Br^2,Sn;Cl;Br^2,3,0.09419820751423771,0.004776098508145082,0.907039717188952,7.81992750719878
10,Eg = a0 + a1*Sn^2 + a2*Br + a3*Cl,True,,,Eg = a0 + a1*Br + a2*Cl + a3*Sn^2,Br;Cl;Sn^2,3,0.10579395635242443,0.007756389811253782,0.8824644431799525,7.9291418739329185
11,Eg = a0 + a1*Sn + a2*Br^2 + a3*Cl^2,True,,,Eg = a0 + a1*Sn + a2*Br^2 + a3*Cl^2,Sn;Br^2;Cl^2,3,0.11818039796495046,0.026426510916417765,0.8480782380605407,9.156866848641082
12,Eg = a0 + a1*Sn^2 + a2*Br + a3*Cl^2,True,,,Eg = a0 + a1*Br + a2*Sn^2 + a3*Cl^2,Br;Sn^2;Cl^2,3,0.12147337277757217,0.014272272894266153,0.8439697324770549,9.266312591058176
13,Eg = a0 + a1*Sn^2 + a2*Br^2 + a3*Cl,True,,,Eg = a0 + a1*Cl + a2*Sn^2 + a3*Br^2,Cl;Sn^2;Br^2,3,0.1132123406597905,0.008588615206977223,0.8654020447376745,7.7951048470933975
14,Eg = a0 + a1*Sn^2 + a2*Br^2 + a3*Cl^2,True,,,Eg = a0 + a1*Sn^2 + a2*Br^2 + a3*Cl^2,Sn^2;Br^2;Cl^2,3,0.13476015502741334,0.02631072599161759,0.8043009928445706,9.120893134952777
15,Eg = a0 + a1*Sn + a2*Br^2,True,,,Eg = a0 + a1*Sn + a2*Br^2,Sn;Br^2,2,0.21749303613018894,0.07091666199819723,0.46237030553535696,4.767228320256324
16,Eg = a0 + a1*Sn^2 + a2*Br,True,,,Eg = a0 + a1*Br + a2*Sn^2,Br;Sn^2,2,0.22033544525605211,0.0764274271000626,0.44246283086412563,4.365636731957965
