run_id,timestamp,raw_output,error
1,2026-06-07T21:29:53.359518,Bg = 0.592 + 0.429*Cs + 1.176*Cl + -0.448*Cs^2 + -0.639*Br*Cl + 0.648*Br^2 + 1.622*Sn*Cl + 0.880*Sn*Cs + -0.114*Br + -0.012*Cl^2 + -0.215*Sn^2,
2,2026-06-07T21:29:53.359533,Bg = -0.236 + -1.225*Cs + -0.911*Cl + 0.874*Br^2 + 1.132*Cl*Cs + 1.401*Sn*Cs + 1.101*Br + -1.853*Cs^2 + -1.533*Sn + 1.005*Sn^2 + -1.043*Sn*Cl,
3,2026-06-07T21:29:53.359541,Bg = 0.119 + 0.967*Cs + 0.653*Cl + 1.547*Sn*Cl + 1.432*Cl^2 + 0.997*Br^2 + 1.481*Sn^2 + -1.253*Sn*Br + -0.698*Br*Cs,
4,2026-06-07T21:29:53.359549,Bg = 1.805 + -0.642*Cs + -0.367*Cl + 1.238*Sn + 1.005*Br + 0.990*Sn*Cs + 1.395*Sn^2 + 1.502*Sn*Cl + -0.449*Br^2 + -0.438*Cl^2,
5,2026-06-07T21:29:53.359556,Bg = -0.791 + 0.674*Cs + 1.670*Cl + -0.325*Sn*Cl + -0.671*Cl^2 + -0.868*Br*Cl + -1.255*Sn*Br + -0.732*Br*Cs + -0.075*Cs^2,
6,2026-06-07T21:29:53.359563,Bg = 0.778 + -0.210*Cs + 0.193*Cl + -0.571*Cs^2 + -1.551*Br*Cs + -1.432*Cl*Cs + -0.220*Sn*Cl + 0.928*Br*Cl + -0.160*Sn^2,
7,2026-06-07T21:29:53.359571,Bg = -0.419 + -1.128*Cs + 0.739*Cl + -0.761*Sn*Br + -0.159*Cl^2 + -0.445*Sn + -1.543*Sn^2 + -1.748*Br + 0.130*Br^2 + -1.393*Br*Cl,
8,2026-06-07T21:29:53.359579,Bg = -0.389 + 0.171*Cs + -1.087*Cl + -1.039*Sn*Cl + 1.814*Cl^2 + 0.583*Sn*Br + -1.929*Sn + 1.985*Br*Cs + 0.941*Cs^2 + 0.888*Sn^2 + -0.358*Cl*Cs,
9,2026-06-07T21:29:53.359587,Bg = -0.457 + -1.766*Cs + 0.693*Cl + 0.791*Br^2 + 0.931*Sn*Cs + 1.151*Sn^2 + -1.694*Cs^2 + -0.729*Sn + 0.964*Br*Cs + -0.686*Sn*Br + -0.119*Br,
10,2026-06-07T21:29:53.359594,Bg = 1.496 + -1.682*Cs + 1.043*Cl + 1.441*Sn*Cs + -1.339*Br^2 + 0.625*Sn*Br + -0.522*Cl^2 + 1.270*Br*Cl + 1.675*Cs^2 + -1.347*Sn^2,
11,2026-06-07T21:29:53.359601,Bg = 0.245 + -0.453*Cs + 0.974*Cl + -0.870*Br + -0.824*Sn*Br + 0.296*Sn^2 + -1.812*Cs^2 + -0.452*Cl^2 + 1.338*Br^2 + 0.084*Br*Cl + -1.490*Br*Cs,
12,2026-06-07T21:29:53.359609,Bg = 0.510 + -0.994*Cs + 0.541*Cl + 0.319*Br + 0.475*Br*Cs + -0.529*Sn*Cs + -0.967*Sn + -1.223*Sn*Br + 0.210*Br*Cl + 1.303*Cs^2,
13,2026-06-07T21:29:53.359617,Bg = -0.896 + 0.077*Cs + -1.743*Cl + -1.664*Sn*Cs + 0.862*Br + -1.516*Sn^2 + 0.161*Sn + -0.074*Sn*Br + 0.293*Br*Cs + 0.449*Cl^2 + -1.992*Sn*Cl,
14,2026-06-07T21:29:53.359624,Bg = 0.749 + -0.417*Cs + 1.395*Cl + -1.216*Cs^2 + -1.725*Sn^2 + -0.972*Cl*Cs + -0.318*Br*Cs + 1.885*Br^2 + -1.979*Sn*Cl + 0.925*Cl^2,
15,2026-06-07T21:29:53.359630,Bg = -0.177 + -0.319*Cs + -1.045*Cl + -0.649*Br*Cs + 1.963*Cs^2 + -1.049*Sn*Cl + -1.675*Sn*Cs + 0.678*Sn + 0.485*Br*Cl,
16,2026-06-07T21:29:53.359636,Bg = 0.167 + 1.938*Cs + 0.093*Cl + 0.596*Br^2 + 1.367*Cs^2 + 0.452*Br*Cs + 0.511*Sn*Cl + 1.646*Br + 1.584*Sn*Br,
17,2026-06-07T21:29:53.359643,Bg = 1.545 + 0.312*Cs + -0.047*Cl + -0.656*Cs^2 + -1.437*Br*Cs + 1.566*Cl*Cs + -1.655*Br + 1.390*Sn + 0.118*Sn*Cs + 0.201*Br*Cl,
18,2026-06-07T21:29:53.359650,Bg = -0.023 + -0.575*Cs + 1.274*Cl + 1.621*Cl*Cs + -1.829*Sn + -1.935*Br^2 + 0.224*Cl^2 + -1.678*Sn*Cs + 1.857*Br*Cl + -0.366*Sn*Cl,
19,2026-06-07T21:29:53.359657,Bg = 0.750 + -1.686*Cs + -0.355*Cl + 0.201*Sn^2 + -1.272*Sn*Br + -1.991*Br^2 + -1.323*Cl*Cs + -1.413*Sn*Cs + 1.775*Br*Cs,
20,2026-06-07T21:29:53.359664,Bg = 0.060 + 1.044*Cs + 0.412*Cl + -0.901*Sn*Cl + 1.956*Br^2 + -0.297*Sn*Cs + 0.967*Br*Cs + -0.891*Sn^2 + 0.630*Sn*Br + -1.443*Cs^2 + 0.803*Cl^2,
