model_id,id,Sn,Br,Cl,Cs,Bg,prediction,shap_base_value,shap_group__Sn,shap_group__Br,shap_group__Cl,shap_group__Cs,allocation_note
m4_full_s3,0,0.0,0.2,0.0,0.17,1.61,1.6591280331305551,1.6512277992277937,0.0625484733760944,-0.02135726251157416,-0.03915233083310302,0.005861353871344245,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,1,0.0,0.5,0.5,1.0,2.49,2.5271672200628177,1.6512277992277937,0.0625484733760944,0.15245434290040288,0.6763610248370373,-0.015424420278511097,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,2,0.0,0.167,0.0,0.13,1.63,1.6389534043138023,1.6512277992277937,0.0625484733760944,-0.03827382721692758,-0.03915233083310302,0.0026032897599445903,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,3,0.25,0.167,0.0,0.1,1.36,1.4141681196851479,1.6512277992277937,-0.15583961436461347,-0.042073345874271986,-0.03915233083310302,5.611529342394337e-06,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,4,0.75,0.0,0.0,0.2,1.2,1.2554529349864847,1.6512277992277937,-0.2521794958719227,-0.11433109329515588,-0.03915233083310302,0.009888055758872479,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,5,0.0,0.008,0.0,0.03,1.6,1.5576645027584184,1.6512277992277937,0.0625484733760944,-0.11107853711865578,-0.03915233083310302,-0.005880901893710927,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,6,0.25,0.6,0.0,0.0,1.73,1.6705569623860743,1.6512277992277937,-0.16616691373235434,0.23330172362973622,-0.03915233083310302,-0.00865331590599826,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,7,0.0,0.14,0.0,0.0,1.62,1.6148180800549228,1.6512277992277937,0.0625484733760944,-0.05115254580986421,-0.03915233083310302,-0.00865331590599826,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,8,0.0,0.17,0.0,0.06,1.63,1.6348562641583557,1.6512277992277937,0.0625484733760944,-0.03630312436455329,-0.03915233083310302,-0.0034645532478763267,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,9,0.0,0.025,0.0,0.0,1.613,1.5619716456433066,1.6512277992277937,0.0625484733760944,-0.10399898022148028,-0.03915233083310302,-0.00865331590599826,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,10,0.0,0.157,0.0,0.07,1.6,1.6290557815743958,1.6512277992277937,0.0625484733760944,-0.04300173606267249,-0.03915233083310302,-0.0025664241337169094,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,11,0.2,0.0,0.0,0.17,1.35,1.387116007754858,1.6512277992277937,-0.11773521735381867,-0.11433109329515588,-0.03915233083310302,0.0071068500091418674,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,12,0.0,0.17,0.0,0.25,1.63,1.6501041245781674,1.6512277992277937,0.0625484733760944,-0.03748634569546103,-0.03915233083310302,0.012966528502843133,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,13,0.0,0.2,0.0,0.2,1.48,1.661469652008122,1.6512277992277937,0.0625484733760944,-0.021577055947656094,-0.03915233083310302,0.008422766184992922,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,14,0.0,0.04,0.0,0.15,1.6,1.5818355683182637,1.6512277992277937,0.0625484733760944,-0.09782129285909441,-0.03915233083310302,0.005032919406572859,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,15,0.0,0.15,0.0,0.05,1.606,1.623912225158398,1.6512277992277937,0.0625484733760944,-0.046419001827504046,-0.03915233083310302,-0.004292714784882992,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,16,0.0,0.177,0.0,0.0,1.64,1.6336787620003812,1.6512277992277937,0.0625484733760944,-0.03229186386440569,-0.03915233083310302,-0.00865331590599826,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,17,0.5,0.0,0.0,0.05,1.26,1.2369605108389412,1.6512277992277937,-0.256765891270813,-0.11433109329515588,-0.03915233083310302,-0.004017972989780576,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
m4_full_s3,18,0.0,0.0,0.0,0.05,1.54,1.5562748754858486,1.6512277992277937,0.0625484733760944,-0.11433109329515588,-0.03915233083310302,-0.004017972989780576,Term-level linear SHAP values; pairwise interaction SHAP split equally between the two raw variables for grouped summaries.
