"Stage","TermCount","Terms","CV_RMSE_Mean","CV_RMSE_Std","CV_R2","Fold_RMSE"
"M0","1","Sn","0.281779313255035","0.0593048061370022","0.139448777587094","0.31441549;0.25085526;0.34938117;0.19675072;0.29749392"
"M0","1","Br","0.230699033179659","0.0788110222918316","0.390854211820388","0.26043819;0.15128543;0.33513726;0.15209756;0.25453672"
"M0","2","Sn + Br","0.206451730552211","0.0880607815444601","0.488878873772914","0.23600253;0.12503710;0.31528172;0.10707904;0.24885826"
"M0","1","Cl","0.22345481675274","0.0322905543665132","0.46864150360887","0.26696447;0.24866304;0.20208557;0.20546307;0.19409792"
"M0","2","Sn + Cl","0.188499237449717","0.0283396005688472","0.621247457500368","0.21599011;0.21596861;0.19161397;0.16121737;0.15770613"
"M0","2","Br + Cl","0.134510599025287","0.0156003510756816","0.808678935605908","0.15951377;0.12359208;0.13161321;0.13780908;0.12002486"
"M0","3","Sn + Br + Cl","0.0875434694590856","0.0130716625911645","0.918343303666614","0.10483264;0.08995641;0.09023554;0.08411615;0.06857660"
"M1","1","Sn","0.281779313255035","0.0593048061370022","0.139448777587094","0.31441549;0.25085526;0.34938117;0.19675072;0.29749392"
"M1","2","Sn + Sn^2","0.26482020191166","0.0627690129400711","0.232880713059753","0.30370451;0.23027620;0.33253952;0.17460406;0.28297671"
"M1","1","Br","0.230699033179659","0.0788110222918316","0.390854211820388","0.26043819;0.15128543;0.33513726;0.15209756;0.25453672"
"M1","2","Sn + Br","0.206451730552211","0.0880607815444601","0.488878873772914","0.23600253;0.12503710;0.31528172;0.10707904;0.24885826"
"M1","3","Sn + Br + Sn^2","0.190672537092537","0.0915903803671032","0.549107184232509","0.22139091;0.10943703;0.30412666;0.08450466;0.23390342"
"M1","2","Br + Br^2","0.230607381515304","0.0789853236761821","0.391065882791761","0.26078673;0.15092330;0.33496686;0.15170693;0.25465309"
"M1","3","Sn + Br + Br^2","0.206026003915605","0.0884458994474864","0.490147974305188","0.23604921;0.12436543;0.31483015;0.10585874;0.24902650"
"M1","4","Sn + Br + Sn^2 + Br^2","0.189162299075205","0.092602641359377","0.553549643327519","0.22102364;0.10805084;0.30253301;0.08029660;0.23390741"
"M1","1","Cl","0.22345481675274","0.0322905543665132","0.46864150360887","0.26696447;0.24866304;0.20208557;0.20546307;0.19409792"
"M1","2","Sn + Cl","0.188499237449717","0.0283396005688472","0.621247457500368","0.21599011;0.21596861;0.19161397;0.16121737;0.15770613"
"M1","3","Sn + Cl + Sn^2","0.174776797276225","0.0291299955843849","0.673050946186492","0.21062532;0.19719434;0.17169301;0.14108189;0.15328943"
"M1","2","Br + Cl","0.134510599025287","0.0156003510756816","0.808678935605908","0.15951377;0.12359208;0.13161321;0.13780908;0.12002486"
"M1","3","Sn + Br + Cl","0.0875434694590856","0.0130716625911645","0.918343303666614","0.10483264;0.08995641;0.09023554;0.08411615;0.06857660"
"M1","4","Sn + Br + Cl + Sn^2","0.0681403024587516","0.0136353441741724","0.949823159336294","0.08966813;0.06692555;0.07053616;0.05954080;0.05403087"
"M1","3","Br + Cl + Br^2","0.133744693843684","0.0155566948846782","0.810841639926422","0.15819720;0.12175870;0.13206558;0.13744633;0.11925566"
"M1","4","Sn + Br + Cl + Br^2","0.0855401824839265","0.0128500226223584","0.922021418077551","0.10062010;0.08645064;0.09155964;0.08330479;0.06576574"
"M1","5","Sn + Br + Cl + Sn^2 + Br^2","0.0629140823563055","0.0125917225077936","0.957224869379967","0.08179852;0.05930065;0.06845337;0.05545081;0.04956706"
"M1","2","Cl + Cl^2","0.217990537278846","0.0347523272278466","0.492432964229324","0.26677371;0.24074719;0.20169952;0.19878101;0.18195125"
"M1","3","Sn + Cl + Cl^2","0.180417144763257","0.0291327896964494","0.65208485900018","0.21505807;0.20598497;0.17516967;0.15421375;0.15165926"
"M1","4","Sn + Cl + Sn^2 + Cl^2","0.16742857618257","0.0314247179081756","0.698190426014673","0.21013638;0.18820517;0.16044669;0.13420668;0.14414796"
"M1","3","Br + Cl + Cl^2","0.135634042656604","0.0146021262420729","0.805768563183361","0.15948206;0.12370047;0.13259265;0.13802155;0.12437349"
"M1","4","Sn + Br + Cl + Cl^2","0.0878587876627376","0.0130895778633399","0.917760404468801","0.10544588;0.09032995;0.09022784;0.08415617;0.06913410"
"M1","5","Sn + Br + Cl + Sn^2 + Cl^2","0.0689463805267857","0.0132165204594382","0.948763422403352","0.09024842;0.06760945;0.07066125;0.05971728;0.05649550"
"M1","4","Br + Cl + Br^2 + Cl^2","0.134965142538491","0.0146228404593543","0.807656027910864","0.15828362;0.12195514;0.13368088;0.13752166;0.12338442"
"M1","5","Sn + Br + Cl + Br^2 + Cl^2","0.0857761881467465","0.0129255070080776","0.921581464757113","0.10123558;0.08668488;0.09157320;0.08333091;0.06605636"
"M1","6","Sn + Br + Cl + Sn^2 + Br^2 + Cl^2","0.0637229802833489","0.0124351568677992","0.95618627029096","0.08255472;0.05984406;0.06927419;0.05544941;0.05149252"
"M2","3","Sn + Br + Cl","0.0875434694590856","0.0130716625911645","0.918343303666614","0.10483264;0.08995641;0.09023554;0.08411615;0.06857660"
"M2","4","Sn + Br + Cl + Sn*Br","0.0883711975287269","0.0130280173314242","0.91682315630044","0.10364693;0.09190768;0.09385682;0.08356319;0.06888137"
"M2","4","Sn + Br + Cl + Sn*Cl","0.0910812325367438","0.00811756586325635","0.912647269029101","0.10502431;0.08973236;0.08986087;0.08462647;0.08616215"
"M2","5","Sn + Br + Cl + Sn*Br + Sn*Cl","0.090793861544656","0.00907600531726761","0.913036917725186","0.10387825;0.09176183;0.09366936;0.08403471;0.08062515"
"M2","4","Sn + Br + Cl + Br*Cl","0.0878324222543344","0.0128904065834489","0.917853353115423","0.10517639;0.09019815;0.09019567;0.08418000;0.06941190"
"M2","5","Sn + Br + Cl + Sn*Br + Br*Cl","0.0886340005060539","0.0128445958508376","0.916376918959127","0.10397728;0.09205825;0.09388245;0.08358526;0.06966675"
"M2","5","Sn + Br + Cl + Sn*Cl + Br*Cl","0.0913056899262893","0.0083156507583559","0.912190081699272","0.10554254;0.08997576;0.09023665;0.08470373;0.08606977"
"M2","6","Sn + Br + Cl + Sn*Br + Sn*Cl + Br*Cl","0.0909397489005276","0.00939642500255446","0.912707790373306","0.10440234;0.09191485;0.09405304;0.08407060;0.08025793"
"M2","4","Sn + Br + Cl + Sn^2","0.0681403024587516","0.0136353441741724","0.949823159336294","0.08966813;0.06692555;0.07053616;0.05954080;0.05403087"
"M2","5","Sn + Br + Cl + Sn^2 + Sn*Br","0.0663624723625496","0.0123187610171847","0.952613360002701","0.08508013;0.06701292;0.06922179;0.05596599;0.05453153"
"M2","5","Sn + Br + Cl + Sn^2 + Sn*Cl","0.0728240033037633","0.0119543597554747","0.943340271096746","0.08581398;0.06602633;0.06763615;0.05949094;0.08515262"
"M2","6","Sn + Br + Cl + Sn^2 + Sn*Br + Sn*Cl","0.0689214266351961","0.00939230750431237","0.949560334939562","0.08180814;0.06659318;0.06710960;0.05618631;0.07290989"
"M2","5","Sn + Br + Cl + Sn^2 + Br*Cl","0.0689366523834258","0.0130914538485798","0.948805922509873","0.09013153;0.06747158;0.07052687;0.05975570;0.05679759"
"M2","6","Sn + Br + Cl + Sn^2 + Sn*Br + Br*Cl","0.0671957846708204","0.0120461449121132","0.951507050804786","0.08599023;0.06741778;0.06926086;0.05607261;0.05723745"
"M2","6","Sn + Br + Cl + Sn^2 + Sn*Cl + Br*Cl","0.0729351888443373","0.0115878065215987","0.943240800768297","0.08580644;0.06659980;0.06808671;0.05971468;0.08446832"
"M2","7","Sn + Br + Cl + Sn^2 + Sn*Br + Sn*Cl + Br*Cl","0.0690177851998395","0.00936602385927211","0.94942161756827","0.08232188;0.06704022;0.06773734;0.05631755;0.07167194"
"M2","4","Sn + Br + Cl + Br^2","0.0855401824839265","0.0128500226223584","0.922021418077551","0.10062010;0.08645064;0.09155964;0.08330479;0.06576574"
"M2","5","Sn + Br + Cl + Br^2 + Sn*Br","0.0864561069127841","0.0131405634199758","0.920304268308522","0.10132056;0.08899730;0.09276035;0.08304110;0.06616122"
