split,variable,n,mean,sd,min,median,max
Train,Eg,518,1.6512277992277993,0.3095221722049055,1.17,1.606,3.16
Train,Sn,518,0.1407915057915058,0.29055757604200777,0.0,0.0,1.0
Train,Br,518,0.2047200772200772,0.24982073422348888,0.0,0.15,1.0
Train,Cl,518,0.025316602316602318,0.13052917203768466,0.0,0.0,1.0
Train,Cs,518,0.1184988416988417,0.237960251785861,0.0,0.02,1.0
Train,MA,518,0.39518629343629347,0.40083159661464907,0.0,0.17,1.0
Test,Eg,92,1.6945978260869567,0.39794745524764863,1.18,1.6150000000000002,3.04
Test,Sn,92,0.14516304347826087,0.2876366861764881,0.0,0.0,1.0
Test,Br,92,0.22035869565217392,0.26696839264378747,0.0,0.1365,1.0
Test,Cl,92,0.04771739130434782,0.16850410541103342,0.0,0.0,1.0
Test,Cs,92,0.10317826086956523,0.22846731645259913,0.0,0.0,1.0
Test,MA,92,0.4546163043478261,0.40979199904158664,0.0,0.2834,1.0
