Metric,Final M4,Final M4 + Cl2,Delta plusCl2-minusFinal
cv_rmse,0.0575317728241234,0.058256324104242606,0.0007245512801191
train_rmse,0.0541077118381951,0.05403200142689433,-7.571041130081946e-05
test_rmse,0.0606134717515385,0.06250800669183797,0.0018945349402993
test_r2,0.9765451159242244,0.9750559900409428,-0.0014891258832815
aic,-3003.782583443852,-3003.233225332108,0.5493581117443682
bic,-2965.5328062635167,-2960.7334729095132,4.7993333540034655
max_vif,15.786310623222803,16.176671735661056,0.3903611124382511
min_sign_stability,0.999,0.6034,-0.3955999999999999
ci_cross_count,0.0,1,1.0
Cl2 coefficient,,0.10362855901908595,
Cl2 OLS CI low,,-0.06694522497630213,
Cl2 OLS CI high,,0.27420234301447405,
Cl2 OLS CI crosses zero,,Yes,
Cl2 bootstrap CI low,,-0.4110097552170539,
Cl2 bootstrap CI high,,0.5056118455255114,
Cl2 bootstrap CI crosses zero,,Yes,
Cl2 sign stability,,0.6034,
Nested F-test p-value,,0.23319974153908107,
