model,rank,feature,mean_abs_shap,median_abs_shap,mean_shap,std_shap,max_abs_shap,spearman_feature_shap,pearson_feature_shap,Rank,Median |SHAP|,Mean SHAP,SD SHAP,Max |SHAP|,"Spearman(feature, SHAP)","Pearson(feature, SHAP)"
GBRT,1.0,Br,0.1077922051755748,0.0770737653754378,0.0039596607557894,0.1554837180247941,0.5864988833881887,0.9644249288250676,0.9735500262711276,,,,,,,
GBRT,2.0,Sn,0.0966142435653094,0.0649917368506466,0.0003458686213182,0.1180467444716129,0.3704320463536299,-0.7473479500234208,-0.8656806511960523,,,,,,,
GBRT,3.0,Cl,0.0812661687148732,0.0458189162188024,-0.0051163859867998,0.1957482051049595,1.3617104502176678,0.3851744350959731,0.9899174341925754,,,,,,,
GBRT,4.0,Cs,0.0128368927337862,0.0090467550193882,0.0009753444248259,0.0241814353445141,0.1440345628237478,0.5790605286408378,0.8205264987313241,,,,,,,
GBRT,5.0,MA,0.0121043129978285,0.0106345755380117,-0.0006227399135375,0.0143110619953271,0.0430852787791827,0.7686168506086707,0.7881934888727401,,,,,,,
XGBoost,,Br,0.0984482020139694,,,,,,,1.0,0.0692189261317253,0.008250867947936,0.1485325247049331,0.5912523865699768,0.9496162045137312,0.939252488945936
XGBoost,,Sn,0.0982252582907676,,,,,,,2.0,0.0668007805943489,-0.0007734993705525,0.1203628629446029,0.3852994441986084,-0.7465241791922551,-0.8595578101038511
XGBoost,,Cl,0.0898470506072044,,,,,,,3.0,0.0545558556914329,-0.0085135651752352,0.1992413401603698,1.2859691381454468,0.3851678230338089,0.9685556311285992
XGBoost,,Cs,0.0127198360860347,,,,,,,4.0,0.0087455445900559,0.0006870628567412,0.024904016405344,0.1589049100875854,0.5492237394330279,0.8010286569727451
XGBoost,,MA,0.0120439948514103,,,,,,,5.0,0.0101099787279963,7.853166607674211e-05,0.0146602392196655,0.0463364534080028,0.7149180584488615,0.7377169459463602
Random Forest,,Br,0.1087281767079315,,,,,,,1.0,0.0764793813937494,0.0030123552235774,0.1562189506800274,0.5796296053307257,0.9535681712274958,0.9734269735348866
Random Forest,,Sn,0.0975027041441089,,,,,,,2.0,0.0679563484785707,0.0032014451092608,0.1167581967430577,0.3394648830115421,-0.7467390311291209,-0.8673180862387466
Random Forest,,Cl,0.0824521370806937,,,,,,,3.0,0.0481332881133306,-0.0078252490893954,0.1913000660635581,1.3114408775884865,0.3851724607579693,0.9891592556016738
Random Forest,,Cs,0.0126340452876154,,,,,,,4.0,0.0077652566554391,0.00079512822352,0.0244351591734916,0.1589057742699359,0.4990012547647879,0.8298046434883752
Random Forest,,MA,0.0099437509925815,,,,,,,5.0,0.0076553985588882,0.0001907978259607,0.0128571670249606,0.0430864286334022,0.543027964760443,0.6213730588703992
